day,group,minimum_workers,shift_1,shift_2,shift_3,shift_4,shift_5,shift_6,shift_7,shift_8,shift_9,shift_10,solver_name,solver_status,objective_value,runtime_seconds
1,1,18,5,6,0,3,3,0,0,0,0,1,PySCIPOpt/SCIP,OPTIMAL,18,0.0005860820001544198
1,2,19,4,2,0,9,0,0,0,0,0,4,PySCIPOpt/SCIP,OPTIMAL,19,0.0005449509999380098
1,3,18,0,0,6,3,0,0,0,9,0,0,PySCIPOpt/SCIP,OPTIMAL,18,0.0007074029999785125
1,4,22,10,0,0,3,0,5,2,0,0,2,PySCIPOpt/SCIP,OPTIMAL,22,0.000576256999920588
1,5,27,10,0,1,8,0,0,0,0,0,8,PySCIPOpt/SCIP,OPTIMAL,27,0.0005605140004263376
1,6,18,3,0,0,15,0,0,0,0,0,0,PySCIPOpt/SCIP,OPTIMAL,18,0.00043912399996770546
1,7,24,7,0,8,5,0,0,0,4,0,0,PySCIPOpt/SCIP,OPTIMAL,24,0.0005705789999410626
1,8,23,8,0,1,6,0,3,0,0,0,5,PySCIPOpt/SCIP,OPTIMAL,23,0.0005422969998107874
1,9,18,0,13,0,2,3,0,0,0,0,0,PySCIPOpt/SCIP,OPTIMAL,18,0.0005521220000446192
1,10,27,9,0,9,2,0,0,0,7,0,0,PySCIPOpt/SCIP,OPTIMAL,27,0.0006017159994371468
2,1,29,7,0,3,8,0,11,0,0,0,0,PySCIPOpt/SCIP,OPTIMAL,29,0.0005426280004030559
2,2,37,15,0,0,13,0,0,0,0,0,9,PySCIPOpt/SCIP,OPTIMAL,37,0.0005911889993512887
2,3,37,13,0,13,2,0,0,0,9,0,0,PySCIPOpt/SCIP,OPTIMAL,37,0.0005670339996868279
2,4,35,5,0,0,14,0,0,6,0,0,10,PySCIPOpt/SCIP,OPTIMAL,35,0.0006488760000138427
2,5,36,16,0,9,1,0,0,0,10,0,0,PySCIPOpt/SCIP,OPTIMAL,36,0.0005382210001698695
2,6,30,6,0,0,2,0,0,21,0,0,1,PySCIPOpt/SCIP,OPTIMAL,30,0.0006548640003529727
