day,group,actual_workers,shift,shift_workers,first_start,first_end,second_start,second_end
1,1,18,1,5,08:00,12:00,12:00,16:00
1,1,18,2,6,08:00,12:00,13:00,17:00
1,1,18,3,0,08:00,12:00,14:00,18:00
1,1,18,4,3,08:00,12:00,15:00,19:00
1,1,18,5,3,09:00,13:00,13:00,17:00
1,1,18,6,0,09:00,13:00,14:00,18:00
1,1,18,7,0,09:00,13:00,15:00,19:00
1,1,18,8,0,10:00,14:00,14:00,18:00
1,1,18,9,0,10:00,14:00,15:00,19:00
1,1,18,10,1,11:00,15:00,15:00,19:00
1,2,19,1,4,08:00,12:00,12:00,16:00
1,2,19,2,2,08:00,12:00,13:00,17:00
1,2,19,3,0,08:00,12:00,14:00,18:00
1,2,19,4,9,08:00,12:00,15:00,19:00
1,2,19,5,0,09:00,13:00,13:00,17:00
1,2,19,6,0,09:00,13:00,14:00,18:00
1,2,19,7,0,09:00,13:00,15:00,19:00
1,2,19,8,0,10:00,14:00,14:00,18:00
1,2,19,9,0,10:00,14:00,15:00,19:00
1,2,19,10,4,11:00,15:00,15:00,19:00
1,3,18,1,0,08:00,12:00,12:00,16:00
1,3,18,2,0,08:00,12:00,13:00,17:00
1,3,18,3,6,08:00,12:00,14:00,18:00
1,3,18,4,3,08:00,12:00,15:00,19:00
1,3,18,5,0,09:00,13:00,13:00,17:00
1,3,18,6,0,09:00,13:00,14:00,18:00
1,3,18,7,0,09:00,13:00,15:00,19:00
1,3,18,8,9,10:00,14:00,14:00,18:00
1,3,18,9,0,10:00,14:00,15:00,19:00
1,3,18,10,0,11:00,15:00,15:00,19:00
1,4,22,1,10,08:00,12:00,12:00,16:00
1,4,22,2,0,08:00,12:00,13:00,17:00
1,4,22,3,0,08:00,12:00,14:00,18:00
1,4,22,4,3,08:00,12:00,15:00,19:00
1,4,22,5,0,09:00,13:00,13:00,17:00
1,4,22,6,5,09:00,13:00,14:00,18:00
1,4,22,7,2,09:00,13:00,15:00,19:00
1,4,22,8,0,10:00,14:00,14:00,18:00
1,4,22,9,0,10:00,14:00,15:00,19:00
1,4,22,10,2,11:00,15:00,15:00,19:00
1,5,27,1,10,08:00,12:00,12:00,16:00
1,5,27,2,0,08:00,12:00,13:00,17:00
1,5,27,3,1,08:00,12:00,14:00,18:00
1,5,27,4,8,08:00,12:00,15:00,19:00
1,5,27,5,0,09:00,13:00,13:00,17:00
1,5,27,6,0,09:00,13:00,14:00,18:00
1,5,27,7,0,09:00,13:00,15:00,19:00
1,5,27,8,0,10:00,14:00,14:00,18:00
1,5,27,9,0,10:00,14:00,15:00,19:00
1,5,27,10,8,11:00,15:00,15:00,19:00
1,6,18,1,3,08:00,12:00,12:00,16:00
1,6,18,2,0,08:00,12:00,13:00,17:00
1,6,18,3,0,08:00,12:00,14:00,18:00
1,6,18,4,15,08:00,12:00,15:00,19:00
1,6,18,5,0,09:00,13:00,13:00,17:00
1,6,18,6,0,09:00,13:00,14:00,18:00
1,6,18,7,0,09:00,13:00,15:00,19:00
1,6,18,8,0,10:00,14:00,14:00,18:00
1,6,18,9,0,10:00,14:00,15:00,19:00
1,6,18,10,0,11:00,15:00,15:00,19:00
1,7,24,1,7,08:00,12:00,12:00,16:00
1,7,24,2,0,08:00,12:00,13:00,17:00
1,7,24,3,8,08:00,12:00,14:00,18:00
1,7,24,4,5,08:00,12:00,15:00,19:00
1,7,24,5,0,09:00,13:00,13:00,17:00
1,7,24,6,0,09:00,13:00,14:00,18:00
1,7,24,7,0,09:00,13:00,15:00,19:00
1,7,24,8,4,10:00,14:00,14:00,18:00
1,7,24,9,0,10:00,14:00,15:00,19:00
1,7,24,10,0,11:00,15:00,15:00,19:00
1,8,23,1,8,08:00,12:00,12:00,16:00
1,8,23,2,0,08:00,12:00,13:00,17:00
1,8,23,3,1,08:00,12:00,14:00,18:00
1,8,23,4,6,08:00,12:00,15:00,19:00
1,8,23,5,0,09:00,13:00,13:00,17:00
1,8,23,6,3,09:00,13:00,14:00,18:00
1,8,23,7,0,09:00,13:00,15:00,19:00
1,8,23,8,0,10:00,14:00,14:00,18:00
1,8,23,9,0,10:00,14:00,15:00,19:00
1,8,23,10,5,11:00,15:00,15:00,19:00
1,9,18,1,0,08:00,12:00,12:00,16:00
1,9,18,2,13,08:00,12:00,13:00,17:00
1,9,18,3,0,08:00,12:00,14:00,18:00
1,9,18,4,2,08:00,12:00,15:00,19:00
1,9,18,5,3,09:00,13:00,13:00,17:00
1,9,18,6,0,09:00,13:00,14:00,18:00
1,9,18,7,0,09:00,13:00,15:00,19:00
1,9,18,8,0,10:00,14:00,14:00,18:00
1,9,18,9,0,10:00,14:00,15:00,19:00
1,9,18,10,0,11:00,15:00,15:00,19:00
1,10,27,1,9,08:00,12:00,12:00,16:00
1,10,27,2,0,08:00,12:00,13:00,17:00
1,10,27,3,9,08:00,12:00,14:00,18:00
1,10,27,4,2,08:00,12:00,15:00,19:00
1,10,27,5,0,09:00,13:00,13:00,17:00
1,10,27,6,0,09:00,13:00,14:00,18:00
1,10,27,7,0,09:00,13:00,15:00,19:00
1,10,27,8,7,10:00,14:00,14:00,18:00
1,10,27,9,0,10:00,14:00,15:00,19:00
1,10,27,10,0,11:00,15:00,15:00,19:00
2,1,29,1,7,08:00,12:00,12:00,16:00
2,1,29,2,0,08:00,12:00,13:00,17:00
2,1,29,3,3,08:00,12:00,14:00,18:00
2,1,29,4,8,08:00,12:00,15:00,19:00
2,1,29,5,0,09:00,13:00,13:00,17:00
2,1,29,6,11,09:00,13:00,14:00,18:00
2,1,29,7,0,09:00,13:00,15:00,19:00
2,1,29,8,0,10:00,14:00,14:00,18:00
2,1,29,9,0,10:00,14:00,15:00,19:00
2,1,29,10,0,11:00,15:00,15:00,19:00
2,2,39,1,17,08:00,12:00,12:00,16:00
2,2,39,2,0,08:00,12:00,13:00,17:00
2,2,39,3,0,08:00,12:00,14:00,18:00
2,2,39,4,15,08:00,12:00,15:00,19:00
2,2,39,5,0,09:00,13:00,13:00,17:00
2,2,39,6,0,09:00,13:00,14:00,18:00
2,2,39,7,0,09:00,13:00,15:00,19:00
2,2,39,8,0,10:00,14:00,14:00,18:00
2,2,39,9,0,10:00,14:00,15:00,19:00
2,2,39,10,7,11:00,15:00,15:00,19:00
2,3,37,1,13,08:00,12:00,12:00,16:00
2,3,37,2,0,08:00,12:00,13:00,17:00
2,3,37,3,13,08:00,12:00,14:00,18:00
2,3,37,4,2,08:00,12:00,15:00,19:00
2,3,37,5,0,09:00,13:00,13:00,17:00
2,3,37,6,0,09:00,13:00,14:00,18:00
2,3,37,7,0,09:00,13:00,15:00,19:00
2,3,37,8,9,10:00,14:00,14:00,18:00
2,3,37,9,0,10:00,14:00,15:00,19:00
2,3,37,10,0,11:00,15:00,15:00,19:00
2,4,35,1,5,08:00,12:00,12:00,16:00
2,4,35,2,0,08:00,12:00,13:00,17:00
2,4,35,3,0,08:00,12:00,14:00,18:00
2,4,35,4,14,08:00,12:00,15:00,19:00
2,4,35,5,0,09:00,13:00,13:00,17:00
2,4,35,6,0,09:00,13:00,14:00,18:00
2,4,35,7,6,09:00,13:00,15:00,19:00
2,4,35,8,0,10:00,14:00,14:00,18:00
2,4,35,9,0,10:00,14:00,15:00,19:00
2,4,35,10,10,11:00,15:00,15:00,19:00
2,5,36,1,16,08:00,12:00,12:00,16:00
2,5,36,2,0,08:00,12:00,13:00,17:00
2,5,36,3,9,08:00,12:00,14:00,18:00
2,5,36,4,1,08:00,12:00,15:00,19:00
2,5,36,5,0,09:00,13:00,13:00,17:00
2,5,36,6,0,09:00,13:00,14:00,18:00
2,5,36,7,0,09:00,13:00,15:00,19:00
2,5,36,8,10,10:00,14:00,14:00,18:00
2,5,36,9,0,10:00,14:00,15:00,19:00
2,5,36,10,0,11:00,15:00,15:00,19:00
2,6,30,1,6,08:00,12:00,12:00,16:00
2,6,30,2,0,08:00,12:00,13:00,17:00
2,6,30,3,0,08:00,12:00,14:00,18:00
2,6,30,4,2,08:00,12:00,15:00,19:00
2,6,30,5,0,09:00,13:00,13:00,17:00
2,6,30,6,0,09:00,13:00,14:00,18:00
2,6,30,7,21,09:00,13:00,15:00,19:00
2,6,30,8,0,10:00,14:00,14:00,18:00
2,6,30,9,0,10:00,14:00,15:00,19:00
2,6,30,10,1,11:00,15:00,15:00,19:00
2,7,42,1,16,08:00,12:00,12:00,16:00
