employee,group_employee,fixed_group,day,status
1,1,1,1,WORK
1,1,1,2,REST
1,1,1,3,WORK
1,1,1,4,WORK
1,1,1,5,WORK
1,1,1,6,WORK
1,1,1,7,WORK
1,1,1,8,WORK
1,1,1,9,REST
1,1,1,10,WORK
2,2,1,1,REST
2,2,1,2,REST
2,2,1,3,WORK
2,2,1,4,WORK
2,2,1,5,WORK
2,2,1,6,WORK
2,2,1,7,WORK
2,2,1,8,WORK
2,2,1,9,WORK
2,2,1,10,WORK
3,3,1,1,REST
3,3,1,2,REST
3,3,1,3,WORK
3,3,1,4,WORK
3,3,1,5,WORK
3,3,1,6,WORK
3,3,1,7,WORK
3,3,1,8,WORK
3,3,1,9,WORK
3,3,1,10,WORK
4,4,1,1,REST
4,4,1,2,REST
4,4,1,3,WORK
4,4,1,4,WORK
4,4,1,5,WORK
4,4,1,6,WORK
4,4,1,7,WORK
4,4,1,8,WORK
4,4,1,9,WORK
4,4,1,10,WORK
5,5,1,1,REST
5,5,1,2,REST
5,5,1,3,WORK
5,5,1,4,WORK
5,5,1,5,WORK
5,5,1,6,WORK
5,5,1,7,WORK
5,5,1,8,WORK
5,5,1,9,WORK
5,5,1,10,WORK
6,6,1,1,REST
6,6,1,2,REST
6,6,1,3,WORK
6,6,1,4,WORK
6,6,1,5,WORK
6,6,1,6,WORK
6,6,1,7,WORK
6,6,1,8,WORK
6,6,1,9,WORK
6,6,1,10,WORK
7,7,1,1,REST
7,7,1,2,REST
7,7,1,3,WORK
7,7,1,4,WORK
7,7,1,5,WORK
7,7,1,6,WORK
7,7,1,7,WORK
7,7,1,8,WORK
7,7,1,9,WORK
7,7,1,10,WORK
8,8,1,1,REST
8,8,1,2,REST
8,8,1,3,WORK
8,8,1,4,WORK
8,8,1,5,WORK
8,8,1,6,WORK
8,8,1,7,WORK
8,8,1,8,WORK
8,8,1,9,WORK
8,8,1,10,WORK
9,9,1,1,REST
9,9,1,2,REST
9,9,1,3,WORK
9,9,1,4,WORK
9,9,1,5,WORK
9,9,1,6,WORK
9,9,1,7,WORK
9,9,1,8,WORK
9,9,1,9,WORK
9,9,1,10,WORK
10,10,1,1,REST
10,10,1,2,REST
10,10,1,3,WORK
10,10,1,4,WORK
10,10,1,5,WORK
10,10,1,6,WORK
10,10,1,7,WORK
10,10,1,8,WORK
10,10,1,9,WORK
10,10,1,10,WORK
11,11,1,1,REST
11,11,1,2,WORK
11,11,1,3,REST
11,11,1,4,WORK
11,11,1,5,WORK
11,11,1,6,WORK
11,11,1,7,WORK
11,11,1,8,WORK
11,11,1,9,WORK
11,11,1,10,WORK
12,12,1,1,REST
12,12,1,2,WORK
12,12,1,3,REST
12,12,1,4,WORK
12,12,1,5,WORK
12,12,1,6,WORK
12,12,1,7,WORK
12,12,1,8,WORK
12,12,1,9,WORK
12,12,1,10,WORK
13,13,1,1,REST
13,13,1,2,WORK
13,13,1,3,REST
13,13,1,4,WORK
13,13,1,5,WORK
13,13,1,6,WORK
13,13,1,7,WORK
13,13,1,8,WORK
13,13,1,9,WORK
13,13,1,10,WORK
14,14,1,1,REST
14,14,1,2,WORK
14,14,1,3,REST
14,14,1,4,WORK
14,14,1,5,WORK
14,14,1,6,WORK
14,14,1,7,WORK
14,14,1,8,WORK
14,14,1,9,WORK
14,14,1,10,WORK
15,15,1,1,REST
15,15,1,2,WORK
15,15,1,3,REST
15,15,1,4,WORK
15,15,1,5,WORK
15,15,1,6,WORK
15,15,1,7,WORK
15,15,1,8,WORK
15,15,1,9,WORK
15,15,1,10,WORK
16,16,1,1,REST
16,16,1,2,WORK
16,16,1,3,REST
16,16,1,4,WORK
16,16,1,5,WORK
16,16,1,6,WORK
16,16,1,7,WORK
16,16,1,8,WORK
16,16,1,9,WORK
16,16,1,10,WORK
17,17,1,1,REST
17,17,1,2,WORK
17,17,1,3,REST
17,17,1,4,WORK
17,17,1,5,WORK
17,17,1,6,WORK
17,17,1,7,WORK
17,17,1,8,WORK
17,17,1,9,WORK
17,17,1,10,WORK
18,18,1,1,REST
18,18,1,2,WORK
18,18,1,3,REST
18,18,1,4,WORK
18,18,1,5,WORK
18,18,1,6,WORK
18,18,1,7,WORK
18,18,1,8,WORK
18,18,1,9,WORK
18,18,1,10,WORK
19,19,1,1,REST
19,19,1,2,WORK
19,19,1,3,REST
19,19,1,4,WORK
19,19,1,5,WORK
19,19,1,6,WORK
19,19,1,7,WORK
19,19,1,8,WORK
19,19,1,9,WORK
19,19,1,10,WORK
20,20,1,1,REST
20,20,1,2,WORK
20,20,1,3,WORK
20,20,1,4,WORK
20,20,1,5,WORK
20,20,1,6,REST
20,20,1,7,WORK
20,20,1,8,WORK
20,20,1,9,WORK
20,20,1,10,WORK
21,21,1,1,REST
21,21,1,2,WORK
21,21,1,3,WORK
21,21,1,4,WORK
21,21,1,5,WORK
21,21,1,6,REST
21,21,1,7,WORK
21,21,1,8,WORK
21,21,1,9,WORK
21,21,1,10,WORK
22,22,1,1,WORK
22,22,1,2,WORK
22,22,1,3,WORK
22,22,1,4,WORK
22,22,1,5,WORK
22,22,1,6,REST
22,22,1,7,WORK
22,22,1,8,REST
22,22,1,9,WORK
22,22,1,10,WORK
23,23,1,1,WORK
23,23,1,2,WORK
23,23,1,3,WORK
23,23,1,4,WORK
23,23,1,5,WORK
23,23,1,6,REST
23,23,1,7,WORK
23,23,1,8,REST
23,23,1,9,WORK
23,23,1,10,WORK
24,24,1,1,WORK
24,24,1,2,WORK
24,24,1,3,WORK
24,24,1,4,WORK
24,24,1,5,WORK
24,24,1,6,REST
24,24,1,7,WORK
24,24,1,8,REST
24,24,1,9,WORK
24,24,1,10,WORK
25,25,1,1,WORK
25,25,1,2,WORK
25,25,1,3,WORK
25,25,1,4,WORK
25,25,1,5,WORK
25,25,1,6,REST
25,25,1,7,WORK
25,25,1,8,REST
25,25,1,9,WORK
25,25,1,10,WORK
26,26,1,1,WORK
26,26,1,2,WORK
26,26,1,3,WORK
26,26,1,4,WORK
26,26,1,5,WORK
26,26,1,6,REST
26,26,1,7,WORK
26,26,1,8,REST
26,26,1,9,WORK
26,26,1,10,WORK
27,27,1,1,WORK
27,27,1,2,WORK
27,27,1,3,WORK
27,27,1,4,WORK
27,27,1,5,WORK
27,27,1,6,REST
27,27,1,7,WORK
27,27,1,8,REST
27,27,1,9,WORK
27,27,1,10,WORK
28,28,1,1,WORK
28,28,1,2,WORK
28,28,1,3,WORK
28,28,1,4,WORK
28,28,1,5,WORK
28,28,1,6,REST
28,28,1,7,WORK
28,28,1,8,REST
28,28,1,9,WORK
28,28,1,10,WORK
29,29,1,1,WORK
29,29,1,2,WORK
29,29,1,3,WORK
29,29,1,4,WORK
29,29,1,5,WORK
29,29,1,6,REST
29,29,1,7,WORK
29,29,1,8,REST
29,29,1,9,WORK
29,29,1,10,WORK
30,30,1,1,WORK
30,30,1,2,WORK
