employee,group_employee,fixed_group,day,status,shift,first_start,first_end,second_start,second_end
1,1,1,1,WORK,1,08:00,12:00,12:00,16:00
1,1,1,2,REST,,,,,
1,1,1,3,WORK,1,08:00,12:00,12:00,16:00
1,1,1,4,WORK,1,08:00,12:00,12:00,16:00
1,1,1,5,WORK,1,08:00,12:00,12:00,16:00
1,1,1,6,WORK,1,08:00,12:00,12:00,16:00
1,1,1,7,WORK,1,08:00,12:00,12:00,16:00
1,1,1,8,WORK,1,08:00,12:00,12:00,16:00
1,1,1,9,REST,,,,,
1,1,1,10,WORK,1,08:00,12:00,12:00,16:00
2,2,1,1,REST,,,,,
2,2,1,2,REST,,,,,
2,2,1,3,WORK,1,08:00,12:00,12:00,16:00
2,2,1,4,WORK,1,08:00,12:00,12:00,16:00
2,2,1,5,WORK,1,08:00,12:00,12:00,16:00
2,2,1,6,WORK,2,08:00,12:00,13:00,17:00
2,2,1,7,WORK,1,08:00,12:00,12:00,16:00
2,2,1,8,WORK,1,08:00,12:00,12:00,16:00
2,2,1,9,WORK,1,08:00,12:00,12:00,16:00
2,2,1,10,WORK,1,08:00,12:00,12:00,16:00
3,3,1,1,REST,,,,,
3,3,1,2,REST,,,,,
3,3,1,3,WORK,1,08:00,12:00,12:00,16:00
3,3,1,4,WORK,1,08:00,12:00,12:00,16:00
3,3,1,5,WORK,1,08:00,12:00,12:00,16:00
3,3,1,6,WORK,2,08:00,12:00,13:00,17:00
3,3,1,7,WORK,1,08:00,12:00,12:00,16:00
3,3,1,8,WORK,2,08:00,12:00,13:00,17:00
3,3,1,9,WORK,1,08:00,12:00,12:00,16:00
3,3,1,10,WORK,1,08:00,12:00,12:00,16:00
4,4,1,1,REST,,,,,
4,4,1,2,REST,,,,,
4,4,1,3,WORK,1,08:00,12:00,12:00,16:00
4,4,1,4,WORK,1,08:00,12:00,12:00,16:00
4,4,1,5,WORK,1,08:00,12:00,12:00,16:00
4,4,1,6,WORK,2,08:00,12:00,13:00,17:00
4,4,1,7,WORK,1,08:00,12:00,12:00,16:00
4,4,1,8,WORK,2,08:00,12:00,13:00,17:00
4,4,1,9,WORK,1,08:00,12:00,12:00,16:00
4,4,1,10,WORK,1,08:00,12:00,12:00,16:00
5,5,1,1,REST,,,,,
5,5,1,2,REST,,,,,
5,5,1,3,WORK,1,08:00,12:00,12:00,16:00
5,5,1,4,WORK,1,08:00,12:00,12:00,16:00
5,5,1,5,WORK,1,08:00,12:00,12:00,16:00
5,5,1,6,WORK,2,08:00,12:00,13:00,17:00
5,5,1,7,WORK,1,08:00,12:00,12:00,16:00
5,5,1,8,WORK,2,08:00,12:00,13:00,17:00
