employee,day,status
1,1,WORK
1,2,REST
1,3,WORK
1,4,WORK
1,5,WORK
1,6,WORK
1,7,WORK
1,8,WORK
1,9,WORK
1,10,REST
2,1,WORK
2,2,REST
2,3,WORK
2,4,WORK
2,5,WORK
2,6,WORK
2,7,WORK
2,8,WORK
2,9,WORK
2,10,REST
3,1,WORK
3,2,REST
3,3,WORK
3,4,WORK
3,5,WORK
3,6,WORK
3,7,WORK
3,8,WORK
3,9,WORK
3,10,REST
4,1,WORK
4,2,REST
4,3,WORK
4,4,WORK
4,5,WORK
4,6,WORK
4,7,WORK
4,8,WORK
4,9,WORK
4,10,REST
5,1,WORK
5,2,REST
5,3,WORK
5,4,WORK
5,5,WORK
5,6,WORK
5,7,WORK
5,8,WORK
5,9,WORK
5,10,REST
6,1,WORK
6,2,REST
6,3,WORK
6,4,WORK
6,5,WORK
6,6,WORK
6,7,WORK
6,8,WORK
6,9,WORK
6,10,REST
7,1,WORK
7,2,REST
7,3,WORK
7,4,WORK
7,5,WORK
7,6,WORK
7,7,WORK
7,8,WORK
7,9,WORK
7,10,REST
8,1,WORK
8,2,REST
8,3,WORK
8,4,WORK
8,5,WORK
8,6,WORK
8,7,WORK
8,8,WORK
8,9,WORK
8,10,REST
9,1,WORK
9,2,REST
9,3,WORK
9,4,WORK
9,5,WORK
9,6,WORK
9,7,WORK
9,8,WORK
9,9,WORK
9,10,REST
10,1,WORK
10,2,REST
10,3,WORK
10,4,WORK
10,5,WORK
10,6,WORK
10,7,WORK
10,8,WORK
10,9,WORK
10,10,REST
11,1,WORK
11,2,REST
11,3,WORK
11,4,WORK
11,5,WORK
11,6,WORK
11,7,WORK
11,8,WORK
11,9,WORK
11,10,REST
12,1,WORK
12,2,REST
12,3,WORK
12,4,WORK
12,5,WORK
12,6,WORK
12,7,WORK
12,8,WORK
12,9,WORK
12,10,REST
13,1,WORK
13,2,REST
13,3,WORK
13,4,WORK
13,5,WORK
13,6,WORK
13,7,WORK
13,8,WORK
13,9,WORK
13,10,REST
14,1,WORK
14,2,REST
14,3,WORK
14,4,WORK
14,5,WORK
14,6,WORK
14,7,WORK
14,8,WORK
14,9,WORK
14,10,REST
15,1,WORK
15,2,REST
15,3,WORK
15,4,WORK
15,5,WORK
15,6,WORK
15,7,WORK
15,8,WORK
15,9,WORK
15,10,REST
16,1,WORK
16,2,REST
16,3,WORK
16,4,WORK
16,5,WORK
16,6,WORK
16,7,WORK
16,8,WORK
16,9,WORK
16,10,REST
17,1,WORK
17,2,REST
17,3,WORK
17,4,WORK
17,5,WORK
17,6,WORK
17,7,WORK
17,8,WORK
17,9,WORK
17,10,REST
18,1,WORK
18,2,REST
18,3,WORK
18,4,WORK
18,5,WORK
18,6,WORK
18,7,WORK
18,8,WORK
18,9,WORK
18,10,REST
19,1,WORK
19,2,REST
19,3,WORK
19,4,WORK
19,5,WORK
19,6,WORK
19,7,WORK
19,8,WORK
19,9,WORK
19,10,REST
20,1,WORK
20,2,REST
20,3,WORK
20,4,WORK
20,5,WORK
20,6,WORK
20,7,WORK
20,8,WORK
20,9,WORK
20,10,REST
21,1,WORK
21,2,REST
21,3,WORK
21,4,WORK
21,5,WORK
21,6,WORK
21,7,WORK
21,8,WORK
21,9,WORK
21,10,REST
22,1,WORK
22,2,REST
22,3,WORK
22,4,WORK
22,5,WORK
22,6,WORK
22,7,WORK
22,8,WORK
22,9,WORK
22,10,REST
23,1,WORK
23,2,REST
23,3,WORK
23,4,WORK
23,5,WORK
23,6,WORK
23,7,WORK
23,8,WORK
23,9,WORK
23,10,REST
24,1,WORK
24,2,REST
24,3,WORK
24,4,WORK
24,5,WORK
24,6,WORK
24,7,WORK
24,8,WORK
24,9,WORK
24,10,REST
25,1,WORK
25,2,REST
25,3,WORK
25,4,WORK
25,5,WORK
25,6,WORK
25,7,WORK
25,8,WORK
25,9,WORK
25,10,REST
26,1,WORK
26,2,REST
26,3,WORK
26,4,WORK
26,5,WORK
26,6,WORK
26,7,WORK
26,8,WORK
26,9,WORK
26,10,REST
27,1,WORK
27,2,REST
27,3,WORK
27,4,WORK
27,5,WORK
27,6,WORK
27,7,WORK
27,8,WORK
27,9,WORK
27,10,REST
28,1,WORK
28,2,REST
28,3,WORK
28,4,WORK
28,5,WORK
28,6,WORK
28,7,WORK
28,8,WORK
28,9,WORK
28,10,REST
29,1,REST
