employee,day,status,group,shift,first_start,first_end,second_start,second_end
1,1,WORK,1,1,08:00,12:00,12:00,16:00
1,2,REST,,,,,,
1,3,WORK,1,1,08:00,12:00,12:00,16:00
1,4,WORK,1,1,08:00,12:00,12:00,16:00
1,5,WORK,1,1,08:00,12:00,12:00,16:00
1,6,WORK,1,1,08:00,12:00,12:00,16:00
1,7,WORK,1,1,08:00,12:00,12:00,16:00
1,8,WORK,1,1,08:00,12:00,12:00,16:00
1,9,WORK,1,1,08:00,12:00,12:00,16:00
1,10,REST,,,,,,
2,1,WORK,1,1,08:00,12:00,12:00,16:00
2,2,REST,,,,,,
2,3,WORK,1,1,08:00,12:00,12:00,16:00
2,4,WORK,1,1,08:00,12:00,12:00,16:00
2,5,WORK,1,1,08:00,12:00,12:00,16:00
2,6,WORK,1,2,08:00,12:00,13:00,17:00
2,7,WORK,1,1,08:00,12:00,12:00,16:00
2,8,WORK,1,1,08:00,12:00,12:00,16:00
2,9,WORK,1,1,08:00,12:00,12:00,16:00
2,10,REST,,,,,,
3,1,WORK,1,1,08:00,12:00,12:00,16:00
3,2,REST,,,,,,
3,3,WORK,1,1,08:00,12:00,12:00,16:00
3,4,WORK,1,1,08:00,12:00,12:00,16:00
3,5,WORK,1,1,08:00,12:00,12:00,16:00
3,6,WORK,1,2,08:00,12:00,13:00,17:00
3,7,WORK,1,1,08:00,12:00,12:00,16:00
3,8,WORK,1,2,08:00,12:00,13:00,17:00
3,9,WORK,1,1,08:00,12:00,12:00,16:00
3,10,REST,,,,,,
4,1,WORK,1,1,08:00,12:00,12:00,16:00
4,2,REST,,,,,,
4,3,WORK,1,1,08:00,12:00,12:00,16:00
4,4,WORK,1,1,08:00,12:00,12:00,16:00
4,5,WORK,1,1,08:00,12:00,12:00,16:00
4,6,WORK,1,2,08:00,12:00,13:00,17:00
4,7,WORK,1,1,08:00,12:00,12:00,16:00
4,8,WORK,1,2,08:00,12:00,13:00,17:00
4,9,WORK,1,1,08:00,12:00,12:00,16:00
4,10,REST,,,,,,
5,1,WORK,1,1,08:00,12:00,12:00,16:00
5,2,REST,,,,,,
5,3,WORK,1,1,08:00,12:00,12:00,16:00
5,4,WORK,1,1,08:00,12:00,12:00,16:00
5,5,WORK,1,2,08:00,12:00,13:00,17:00
5,6,WORK,1,2,08:00,12:00,13:00,17:00
5,7,WORK,1,1,08:00,12:00,12:00,16:00
5,8,WORK,1,2,08:00,12:00,13:00,17:00
5,9,WORK,1,1,08:00,12:00,12:00,16:00
5,10,REST,,,,,,
6,1,WORK,1,2,08:00,12:00,13:00,17:00
6,2,REST,,,,,,
6,3,WORK,1,1,08:00,12:00,12:00,16:00
6,4,WORK,1,1,08:00,12:00,12:00,16:00
6,5,WORK,1,2,08:00,12:00,13:00,17:00
6,6,WORK,1,3,08:00,12:00,14:00,18:00
6,7,WORK,1,1,08:00,12:00,12:00,16:00
6,8,WORK,1,4,08:00,12:00,15:00,19:00
6,9,WORK,1,1,08:00,12:00,12:00,16:00
6,10,REST,,,,,,
7,1,WORK,1,2,08:00,12:00,13:00,17:00
7,2,REST,,,,,,
7,3,WORK,1,1,08:00,12:00,12:00,16:00
7,4,WORK,1,1,08:00,12:00,12:00,16:00
7,5,WORK,1,2,08:00,12:00,13:00,17:00
7,6,WORK,1,3,08:00,12:00,14:00,18:00
7,7,WORK,1,1,08:00,12:00,12:00,16:00
7,8,WORK,1,4,08:00,12:00,15:00,19:00
7,9,WORK,1,1,08:00,12:00,12:00,16:00
7,10,REST,,,,,,
8,1,WORK,1,2,08:00,12:00,13:00,17:00
8,2,REST,,,,,,
8,3,WORK,1,1,08:00,12:00,12:00,16:00
8,4,WORK,1,1,08:00,12:00,12:00,16:00
8,5,WORK,1,2,08:00,12:00,13:00,17:00
8,6,WORK,1,3,08:00,12:00,14:00,18:00
8,7,WORK,1,1,08:00,12:00,12:00,16:00
8,8,WORK,1,4,08:00,12:00,15:00,19:00
8,9,WORK,1,1,08:00,12:00,12:00,16:00
8,10,REST,,,,,,
9,1,WORK,1,2,08:00,12:00,13:00,17:00
9,2,REST,,,,,,
9,3,WORK,1,1,08:00,12:00,12:00,16:00
9,4,WORK,1,1,08:00,12:00,12:00,16:00
9,5,WORK,1,2,08:00,12:00,13:00,17:00
9,6,WORK,1,3,08:00,12:00,14:00,18:00
9,7,WORK,1,1,08:00,12:00,12:00,16:00
9,8,WORK,1,4,08:00,12:00,15:00,19:00
9,9,WORK,1,1,08:00,12:00,12:00,16:00
9,10,REST,,,,,,
10,1,WORK,1,2,08:00,12:00,13:00,17:00
10,2,REST,,,,,,
10,3,WORK,1,1,08:00,12:00,12:00,16:00
10,4,WORK,1,1,08:00,12:00,12:00,16:00
10,5,WORK,1,2,08:00,12:00,13:00,17:00
10,6,WORK,1,4,08:00,12:00,15:00,19:00
10,7,WORK,1,2,08:00,12:00,13:00,17:00
10,8,WORK,1,4,08:00,12:00,15:00,19:00
10,9,WORK,1,1,08:00,12:00,12:00,16:00
10,10,REST,,,,,,
11,1,WORK,1,2,08:00,12:00,13:00,17:00
11,2,REST,,,,,,
11,3,WORK,1,1,08:00,12:00,12:00,16:00
11,4,WORK,1,1,08:00,12:00,12:00,16:00
11,5,WORK,1,2,08:00,12:00,13:00,17:00
11,6,WORK,1,4,08:00,12:00,15:00,19:00
11,7,WORK,1,3,08:00,12:00,14:00,18:00
11,8,WORK,1,4,08:00,12:00,15:00,19:00
11,9,WORK,1,1,08:00,12:00,12:00,16:00
11,10,REST,,,,,,
12,1,WORK,1,4,08:00,12:00,15:00,19:00
12,2,REST,,,,,,
12,3,WORK,1,4,08:00,12:00,15:00,19:00
12,4,WORK,1,1,08:00,12:00,12:00,16:00
12,5,WORK,1,3,08:00,12:00,14:00,18:00
12,6,WORK,1,5,09:00,13:00,13:00,17:00
12,7,WORK,1,3,08:00,12:00,14:00,18:00
12,8,WORK,1,4,08:00,12:00,15:00,19:00
12,9,WORK,1,1,08:00,12:00,12:00,16:00
12,10,REST,,,,,,
13,1,WORK,1,4,08:00,12:00,15:00,19:00
13,2,REST,,,,,,
13,3,WORK,1,4,08:00,12:00,15:00,19:00
13,4,WORK,1,1,08:00,12:00,12:00,16:00
13,5,WORK,1,3,08:00,12:00,14:00,18:00
13,6,WORK,1,5,09:00,13:00,13:00,17:00
13,7,WORK,1,3,08:00,12:00,14:00,18:00
13,8,WORK,1,4,08:00,12:00,15:00,19:00
13,9,WORK,1,4,08:00,12:00,15:00,19:00
13,10,REST,,,,,,
14,1,WORK,1,4,08:00,12:00,15:00,19:00
14,2,REST,,,,,,
14,3,WORK,1,4,08:00,12:00,15:00,19:00
14,4,WORK,1,1,08:00,12:00,12:00,16:00
14,5,WORK,1,3,08:00,12:00,14:00,18:00
14,6,WORK,1,5,09:00,13:00,13:00,17:00
14,7,WORK,1,3,08:00,12:00,14:00,18:00
14,8,WORK,1,4,08:00,12:00,15:00,19:00
14,9,WORK,1,4,08:00,12:00,15:00,19:00
14,10,REST,,,,,,
15,1,WORK,1,5,09:00,13:00,13:00,17:00
15,2,REST,,,,,,
15,3,WORK,1,4,08:00,12:00,15:00,19:00
15,4,WORK,1,1,08:00,12:00,12:00,16:00
15,5,WORK,1,3,08:00,12:00,14:00,18:00
15,6,WORK,1,5,09:00,13:00,13:00,17:00
15,7,WORK,1,3,08:00,12:00,14:00,18:00
15,8,WORK,1,9,10:00,14:00,15:00,19:00
15,9,WORK,1,4,08:00,12:00,15:00,19:00
15,10,REST,,,,,,
16,1,WORK,1,5,09:00,13:00,13:00,17:00
16,2,REST,,,,,,
16,3,WORK,1,4,08:00,12:00,15:00,19:00
16,4,WORK,1,4,08:00,12:00,15:00,19:00
16,5,WORK,1,3,08:00,12:00,14:00,18:00
16,6,WORK,1,5,09:00,13:00,13:00,17:00
16,7,WORK,1,4,08:00,12:00,15:00,19:00
16,8,WORK,1,9,10:00,14:00,15:00,19:00
16,9,WORK,1,4,08:00,12:00,15:00,19:00
16,10,REST,,,,,,
17,1,WORK,1,5,09:00,13:00,13:00,17:00
17,2,REST,,,,,,
17,3,WORK,1,4,08:00,12:00,15:00,19:00
17,4,WORK,1,4,08:00,12:00,15:00,19:00
17,5,WORK,1,3,08:00,12:00,14:00,18:00
17,6,WORK,1,5,09:00,13:00,13:00,17:00
17,7,WORK,1,4,08:00,12:00,15:00,19:00
17,8,WORK,1,9,10:00,14:00,15:00,19:00
17,9,WORK,1,4,08:00,12:00,15:00,19:00
17,10,REST,,,,,,
18,1,WORK,1,10,11:00,15:00,15:00,19:00
18,2,REST,,,,,,
18,3,WORK,1,7,09:00,13:00,15:00,19:00
18,4,WORK,1,4,08:00,12:00,15:00,19:00
18,5,WORK,1,3,08:00,12:00,14:00,18:00
18,6,WORK,1,5,09:00,13:00,13:00,17:00
18,7,WORK,1,4,08:00,12:00,15:00,19:00
18,8,WORK,1,10,11:00,15:00,15:00,19:00
18,9,WORK,1,4,08:00,12:00,15:00,19:00
18,10,REST,,,,,,
19,1,WORK,2,1,08:00,12:00,12:00,16:00
19,2,REST,,,,,,
19,3,WORK,1,7,09:00,13:00,15:00,19:00
19,4,WORK,1,4,08:00,12:00,15:00,19:00
19,5,WORK,1,3,08:00,12:00,14:00,18:00
19,6,WORK,1,5,09:00,13:00,13:00,17:00
19,7,WORK,1,4,08:00,12:00,15:00,19:00
19,8,WORK,1,10,11:00,15:00,15:00,19:00
19,9,WORK,1,4,08:00,12:00,15:00,19:00
19,10,REST,,,,,,
20,1,WORK,2,1,08:00,12:00,12:00,16:00
20,2,REST,,,,,,
20,3,WORK,1,7,09:00,13:00,15:00,19:00
20,4,WORK,1,4,08:00,12:00,15:00,19:00
20,5,WORK,1,3,08:00,12:00,14:00,18:00
20,6,WORK,1,5,09:00,13:00,13:00,17:00
20,7,WORK,1,4,08:00,12:00,15:00,19:00
20,8,WORK,1,10,11:00,15:00,15:00,19:00
20,9,WORK,1,4,08:00,12:00,15:00,19:00
20,10,REST,,,,,,
21,1,WORK,2,1,08:00,12:00,12:00,16:00
21,2,REST,,,,,,
21,3,WORK,1,7,09:00,13:00,15:00,19:00
21,4,WORK,1,4,08:00,12:00,15:00,19:00
21,5,WORK,1,3,08:00,12:00,14:00,18:00
21,6,WORK,1,5,09:00,13:00,13:00,17:00
21,7,WORK,1,4,08:00,12:00,15:00,19:00
21,8,WORK,1,10,11:00,15:00,15:00,19:00
21,9,WORK,1,9,10:00,14:00,15:00,19:00
21,10,REST,,,,,,
22,1,WORK,2,1,08:00,12:00,12:00,16:00
22,2,REST,,,,,,
22,3,WORK,1,7,09:00,13:00,15:00,19:00
