day,shift_id,first_group,second_group,count
1,F1,1,1,4
1,F1,2,2,1
1,F1,3,3,2
1,F1,4,4,5
1,F1,5,5,3
1,F1,6,3,1
1,F1,7,3,2
1,F1,8,8,6
1,F1,9,3,9
1,F1,9,9,1
1,F1,10,3,1
1,F2,1,1,4
1,F2,2,2,13
1,F2,3,3,3
1,F2,4,4,7
1,F2,5,5,16
1,F2,6,6,15
1,F2,7,7,17
1,F2,8,8,6
1,F2,10,10,18
1,F3,8,8,5
1,F3,9,9,3
2,F1,1,1,8
2,F1,10,10,9
2,F2,1,6,1
2,F2,1,8,6
2,F2,2,2,22
2,F2,2,6,1
2,F2,2,9,5
2,F2,3,3,24
2,F2,3,6,3
2,F2,4,4,19
2,F2,5,4,6
2,F2,5,5,20
2,F2,6,6,7
2,F2,7,7,18
2,F2,8,8,22
2,F2,9,9,23
2,F2,10,4,2
2,F2,10,7,8
2,F2,10,10,10
2,F3,1,1,14
2,F3,4,4,3
2,F3,6,6,12
3,F1,6,6,8
3,F1,8,8,9
3,F1,9,9,19
3,F2,1,1,16
3,F2,2,2,17
3,F2,3,1,3
3,F2,3,2,1
3,F2,3,3,6
3,F2,3,4,18
3,F2,3,5,2
3,F2,4,4,9
3,F2,5,5,19
3,F2,6,2,3
3,F2,6,6,7
3,F2,7,2,3
3,F2,7,7,26
3,F2,9,9,3
3,F2,10,5,8
3,F2,10,10,14
3,F3,4,4,1
3,F3,8,8,12
4,F1,1,1,5
4,F1,3,3,8
4,F1,5,5,10
4,F1,7,7,5
4,F1,9,6,7
4,F2,1,1,24
4,F2,2,2,23
4,F2,2,10,2
4,F2,3,3,16
4,F2,4,4,10
4,F2,5,5,2
4,F2,6,6,3
4,F2,7,7,16
4,F2,7,10,5
4,F2,8,8,25
4,F2,9,9,18
4,F2,9,10,5
4,F2,10,10,7
4,F3,4,4,4
4,F3,5,5,13
4,F3,6,6,15
4,F3,10,10,3
5,F1,1,1,25
5,F1,4,4,2
5,F1,5,1,1
5,F1,5,2,4
5,F1,6,6,1
5,F1,7,2,10
5,F1,9,10,2
5,F2,2,2,3
5,F2,3,3,27
5,F2,4,4,20
5,F2,5,3,1
5,F2,5,5,22
5,F2,5,6,1
5,F2,6,6,6
5,F2,7,7,7
5,F2,8,8,29
5,F2,9,6,4
5,F2,9,8,1
5,F2,9,9,23
5,F2,10,10,30
5,F3,1,1,1
5,F3,2,2,2
5,F3,6,6,19
5,F3,7,7,3
6,F1,1,1,10
6,F1,2,2,8
6,F1,4,5,1
6,F1,5,5,12
6,F1,6,5,2
6,F1,6,6,7
6,F1,7,7,9
6,F1,10,5,7
6,F1,10,10,2
6,F2,2,2,14
6,F2,3,3,22
6,F2,4,3,2
6,F2,4,4,26
6,F2,5,5,4
6,F2,6,6,6
6,F2,8,8,20
6,F2,9,9,8
6,F2,10,10,13
6,F3,1,1,6
6,F3,1,5,2
6,F3,1,8,6
6,F3,1,9,5
6,F3,7,3,3
6,F3,7,7,11
6,F3,8,8,1
6,F3,9,9,16
7,F1,1,1,5
7,F1,1,4,2
7,F1,2,2,5
7,F1,4,4,10
7,F1,8,8,11
7,F2,1,1,19
7,F2,2,2,18
7,F2,3,3,24
7,F2,4,4,11
7,F2,5,5,28
7,F2,6,6,28
7,F2,6,9,2
7,F2,7,3,3
7,F2,7,7,19
7,F2,7,9,4
7,F2,7,10,3
7,F2,8,8,2
7,F2,9,9,17
7,F2,10,10,25
7,F3,6,4,7
7,F3,7,7,1
7,F3,8,8,15
7,F3,9,9,4
8,F1,4,3,3
8,F1,4,4,9
8,F1,8,8,9
8,F1,9,9,14
8,F2,1,1,22
8,F2,2,2,16
8,F2,3,3,24
8,F2,4,4,7
8,F2,5,5,24
8,F2,5,8,6
8,F2,6,6,27
8,F2,7,1,1
8,F2,7,2,7
8,F2,7,7,15
8,F2,8,8,15
8,F2,9,3,2
8,F2,9,9,11
8,F2,10,10,26
8,F3,4,4,5
8,F3,6,6,1
8,F3,7,7,1
8,F3,8,8,1
8,F3,9,9,3
8,F3,10,8,3
9,F1,2,2,10
9,F1,3,7,5
9,F1,4,10,4
9,F1,5,5,3
9,F1,5,10,3
9,F1,6,6,12
9,F1,7,7,5
9,F1,8,7,6
9,F1,8,10,1
9,F2,1,1,16
9,F2,1,2,3
9,F2,2,2,6
9,F2,3,3,17
9,F2,4,4,23
9,F2,4,10,2
9,F2,5,5,22
9,F2,6,6,8
9,F2,7,7,9
9,F2,8,8,18
9,F2,9,9,11
9,F2,10,10,16
9,F3,6,6,2
9,F3,9,9,15
9,F3,10,10,4
10,F1,1,9,10
10,F1,4,4,10
10,F1,6,6,9
10,F1,7,7,11
10,F1,8,8,10
10,F2,1,1,7
10,F2,1,10,9
10,F2,2,2,3
10,F2,2,10,1
10,F2,3,3,19
10,F2,4,10,8
10,F2,5,5,14
10,F2,5,10,1
10,F2,6,3,2
10,F2,6,6,17
10,F2,7,7,6
10,F2,7,10,3
10,F2,8,8,11
10,F2,9,9,20
10,F2,10,10,5
10,F3,1,1,4
10,F3,2,2,19
10,F3,4,4,3
10,F3,4,8,5
10,F3,4,9,2
10,F3,7,7,1
10,F3,8,8,1
10,F3,9,9,3
