day,hour_start,hour_end,group,demand,coverage,slack
1,08:00,09:00,1,8,8,0
1,08:00,09:00,2,14,14,0
1,08:00,09:00,3,5,5,0
1,08:00,09:00,4,12,12,0
1,08:00,09:00,5,14,19,5
1,08:00,09:00,6,15,16,1
1,08:00,09:00,7,19,19,0
1,08:00,09:00,8,9,12,3
1,08:00,09:00,9,3,10,7
1,08:00,09:00,10,1,19,18
1,09:00,10:00,1,5,8,3
1,09:00,10:00,2,4,14,10
1,09:00,10:00,3,4,5,1
1,09:00,10:00,4,11,12,1
1,09:00,10:00,5,19,19,0
1,09:00,10:00,6,16,16,0
1,09:00,10:00,7,9,19,10
1,09:00,10:00,8,17,17,0
1,09:00,10:00,9,13,13,0
1,09:00,10:00,10,19,19,0
1,10:00,11:00,1,16,16,0
1,10:00,11:00,2,2,14,12
1,10:00,11:00,3,10,10,0
1,10:00,11:00,4,10,12,2
1,10:00,11:00,5,15,19,4
1,10:00,11:00,6,18,18,0
1,10:00,11:00,7,18,19,1
1,10:00,11:00,8,6,17,11
1,10:00,11:00,9,12,13,1
1,10:00,11:00,10,14,19,5
1,11:00,12:00,1,1,16,15
1,11:00,12:00,2,11,22,11
1,11:00,12:00,3,16,16,0
1,11:00,12:00,4,5,31,26
1,11:00,12:00,5,18,19,1
1,11:00,12:00,6,1,21,20
1,11:00,12:00,7,11,30,19
1,11:00,12:00,8,3,28,25
1,11:00,12:00,9,5,13,8
1,11:00,12:00,10,2,19,17
1,12:00,13:00,1,9,14,5
1,12:00,13:00,2,6,8,2
1,12:00,13:00,3,5,11,6
1,12:00,13:00,4,19,19,0
1,12:00,13:00,5,1,16,15
1,12:00,13:00,6,3,5,2
1,12:00,13:00,7,5,11,6
1,12:00,13:00,8,16,16,0
1,12:00,13:00,9,3,3,0
1,12:00,13:00,10,4,16,12
1,13:00,14:00,1,14,19,5
1,13:00,14:00,2,7,9,2
1,13:00,14:00,3,9,11,2
1,13:00,14:00,4,5,19,14
1,13:00,14:00,5,2,16,14
1,13:00,14:00,6,3,5,2
1,13:00,14:00,7,11,11,0
1,13:00,14:00,8,10,11,1
1,13:00,14:00,9,8,14,6
1,13:00,14:00,10,16,16,0
1,14:00,15:00,1,15,15,0
1,14:00,15:00,2,10,10,0
1,14:00,15:00,3,6,21,15
1,14:00,15:00,4,17,24,7
1,14:00,15:00,5,19,19,0
1,14:00,15:00,6,3,3,0
1,14:00,15:00,7,11,11,0
1,14:00,15:00,8,17,17,0
1,14:00,15:00,9,13,15,2
1,14:00,15:00,10,4,16,12
1,15:00,16:00,1,15,19,4
1,15:00,16:00,2,13,15,2
1,15:00,16:00,3,10,18,8
1,15:00,16:00,4,4,12,8
1,15:00,16:00,5,18,35,17
1,15:00,16:00,6,11,15,4
1,15:00,16:00,7,17,17,0
1,15:00,16:00,8,8,17,9
1,15:00,16:00,9,1,18,17
1,15:00,16:00,10,19,34,15
1,16:00,17:00,1,13,13,0
1,16:00,17:00,2,15,15,0
1,16:00,17:00,3,11,18,7
1,16:00,17:00,4,6,12,6
1,16:00,17:00,5,8,19,11
1,16:00,17:00,6,3,15,12
1,16:00,17:00,7,14,17,3
1,16:00,17:00,8,5,17,12
1,16:00,17:00,9,18,18,0
1,16:00,17:00,10,16,18,2
1,17:00,18:00,1,2,8,6
1,17:00,18:00,2,7,14,7
1,17:00,18:00,3,18,18,0
1,17:00,18:00,4,12,12,0
1,17:00,18:00,5,17,19,2
1,17:00,18:00,6,15,15,0
1,17:00,18:00,7,17,17,0
1,17:00,18:00,8,15,17,2
1,17:00,18:00,9,2,4,2
1,17:00,18:00,10,18,18,0
1,18:00,19:00,1,4,4,0
1,18:00,19:00,2,13,13,0
1,18:00,19:00,3,3,3,0
1,18:00,19:00,4,7,7,0
1,18:00,19:00,5,16,16,0
1,18:00,19:00,6,15,15,0
1,18:00,19:00,7,5,17,12
1,18:00,19:00,8,11,11,0
1,18:00,19:00,9,2,3,1
1,18:00,19:00,10,2,18,16
2,08:00,09:00,1,15,15,0
2,08:00,09:00,2,28,28,0
2,08:00,09:00,3,27,27,0
2,08:00,09:00,4,19,19,0
2,08:00,09:00,5,25,26,1
2,08:00,09:00,6,7,7,0
2,08:00,09:00,7,18,18,0
2,08:00,09:00,8,22,22,0
2,08:00,09:00,9,23,23,0
2,08:00,09:00,10,29,29,0
2,09:00,10:00,1,29,29,0
2,09:00,10:00,2,20,28,8
2,09:00,10:00,3,2,27,25
2,09:00,10:00,4,13,22,9
2,09:00,10:00,5,26,26,0
2,09:00,10:00,6,19,19,0
2,09:00,10:00,7,9,18,9
2,09:00,10:00,8,16,22,6
2,09:00,10:00,9,3,23,20
2,09:00,10:00,10,26,29,3
2,10:00,11:00,1,6,29,23
2,10:00,11:00,2,1,28,27
2,10:00,11:00,3,21,27,6
2,10:00,11:00,4,23,25,2
2,10:00,11:00,5,16,26,10
2,10:00,11:00,6,6,19,13
2,10:00,11:00,7,28,28,0
2,10:00,11:00,8,4,22,18
2,10:00,11:00,9,2,23,21
2,10:00,11:00,10,21,29,8
2,11:00,12:00,1,6,33,27
2,11:00,12:00,2,19,52,33
2,11:00,12:00,3,15,49,34
2,11:00,12:00,4,9,40,31
2,11:00,12:00,5,23,52,29
2,11:00,12:00,6,4,35,31
2,11:00,12:00,7,24,57,33
2,11:00,12:00,8,11,31,20
2,11:00,12:00,9,19,50,31
2,11:00,12:00,10,29,29,0
2,12:00,13:00,1,18,18,0
2,12:00,13:00,2,16,24,8
2,12:00,13:00,3,3,22,19
2,12:00,13:00,4,21,21,0
2,12:00,13:00,5,14,26,12
2,12:00,13:00,6,28,28,0
2,12:00,13:00,7,18,39,21
2,12:00,13:00,8,5,9,4
2,12:00,13:00,9,5,27,22
2,12:00,13:00,10,7,16,9
2,13:00,14:00,1,1,4,3
2,13:00,14:00,2,23,24,1
2,13:00,14:00,3,22,22,0
2,13:00,14:00,4,6,18,12
2,13:00,14:00,5,26,26,0
2,13:00,14:00,6,3,16,13
2,13:00,14:00,7,1,39,38
2,13:00,14:00,8,9,9,0
2,13:00,14:00,9,1,29,28
2,13:00,14:00,10,6,18,12
2,14:00,15:00,1,11,12,1
2,14:00,15:00,2,24,24,0
2,14:00,15:00,3,10,22,12
2,14:00,15:00,4,15,15,0
2,14:00,15:00,5,8,26,18
2,14:00,15:00,6,7,16,9
2,14:00,15:00,7,29,29,0
2,14:00,15:00,8,2,9,7
2,14:00,15:00,9,29,29,0
2,14:00,15:00,10,27,27,0
2,15:00,16:00,1,11,22,11
2,15:00,16:00,2,12,22,10
2,15:00,16:00,3,18,24,6
2,15:00,16:00,4,6,30,24
2,15:00,16:00,5,18,20,2
2,15:00,16:00,6,4,24,20
2,15:00,16:00,7,6,26,20
2,15:00,16:00,8,19,28,9
