employee_id,day,shift_id,shift_start,shift_end,group
P0001,1,P1,10:00,14:00,1
P0002,1,P1,10:00,14:00,1
P0003,1,P1,10:00,14:00,1
P0004,1,P1,10:00,14:00,1
P0005,1,P1,10:00,14:00,1
P0006,1,P1,10:00,14:00,1
P0007,1,P1,10:00,14:00,1
P0008,1,P1,10:00,14:00,1
P0009,1,P1,10:00,14:00,3
P0010,1,P1,10:00,14:00,3
P0011,1,P1,10:00,14:00,3
P0012,1,P1,10:00,14:00,3
P0013,1,P1,10:00,14:00,3
P0014,1,P1,10:00,14:00,6
P0015,1,P1,10:00,14:00,6
P0016,1,P2,11:00,15:00,2
P0017,1,P2,11:00,15:00,2
P0018,1,P2,11:00,15:00,2
P0019,1,P2,11:00,15:00,2
P0020,1,P2,11:00,15:00,2
P0021,1,P2,11:00,15:00,2
P0022,1,P2,11:00,15:00,2
P0023,1,P2,11:00,15:00,2
P0024,1,P2,11:00,15:00,3
P0025,1,P2,11:00,15:00,3
P0026,1,P2,11:00,15:00,3
P0027,1,P2,11:00,15:00,3
P0028,1,P2,11:00,15:00,3
P0029,1,P2,11:00,15:00,3
P0030,1,P2,11:00,15:00,4
P0031,1,P2,11:00,15:00,4
P0032,1,P2,11:00,15:00,4
P0033,1,P2,11:00,15:00,4
P0034,1,P2,11:00,15:00,4
P0035,1,P2,11:00,15:00,4
P0036,1,P2,11:00,15:00,4
P0037,1,P2,11:00,15:00,4
P0038,1,P2,11:00,15:00,4
P0039,1,P2,11:00,15:00,4
P0040,1,P2,11:00,15:00,4
P0041,1,P2,11:00,15:00,4
P0042,1,P2,11:00,15:00,4
P0043,1,P2,11:00,15:00,4
P0044,1,P2,11:00,15:00,4
P0045,1,P2,11:00,15:00,4
P0046,1,P2,11:00,15:00,4
P0047,1,P2,11:00,15:00,4
P0048,1,P2,11:00,15:00,4
P0049,1,P2,11:00,15:00,6
P0050,1,P2,11:00,15:00,6
P0051,1,P2,11:00,15:00,6
P0052,1,P2,11:00,15:00,7
P0053,1,P2,11:00,15:00,7
P0054,1,P2,11:00,15:00,7
P0055,1,P2,11:00,15:00,7
P0056,1,P2,11:00,15:00,7
P0057,1,P2,11:00,15:00,7
P0058,1,P2,11:00,15:00,7
P0059,1,P2,11:00,15:00,7
P0060,1,P2,11:00,15:00,7
P0061,1,P2,11:00,15:00,7
P0062,1,P2,11:00,15:00,7
P0063,1,P2,11:00,15:00,8
P0064,1,P2,11:00,15:00,8
P0065,1,P2,11:00,15:00,8
P0066,1,P2,11:00,15:00,8
P0067,1,P2,11:00,15:00,8
P0068,1,P2,11:00,15:00,8
P0069,1,P2,11:00,15:00,8
P0070,1,P2,11:00,15:00,8
P0071,1,P2,11:00,15:00,8
P0072,1,P2,11:00,15:00,8
P0073,1,P2,11:00,15:00,8
P0074,1,P3,12:00,16:00,1
P0075,1,P3,12:00,16:00,1
P0076,1,P3,12:00,16:00,1
P0077,1,P3,12:00,16:00,1
P0078,1,P3,12:00,16:00,1
P0079,1,P3,12:00,16:00,1
P0080,1,P3,12:00,16:00,5
P0081,1,P3,12:00,16:00,5
P0082,1,P3,12:00,16:00,5
P0083,1,P3,12:00,16:00,5
P0084,1,P3,12:00,16:00,5
P0085,1,P3,12:00,16:00,5
P0086,1,P3,12:00,16:00,5
P0087,1,P3,12:00,16:00,5
P0088,1,P3,12:00,16:00,5
P0089,1,P3,12:00,16:00,5
P0090,1,P3,12:00,16:00,5
P0091,1,P3,12:00,16:00,5
P0092,1,P3,12:00,16:00,5
P0093,1,P3,12:00,16:00,5
P0094,1,P3,12:00,16:00,5
P0095,1,P3,12:00,16:00,5
P0096,1,P3,12:00,16:00,10
P0097,1,P3,12:00,16:00,10
P0098,1,P3,12:00,16:00,10
P0099,1,P3,12:00,16:00,10
P0100,1,P3,12:00,16:00,10
P0101,1,P3,12:00,16:00,10
P0102,1,P3,12:00,16:00,10
P0103,1,P3,12:00,16:00,10
P0104,1,P3,12:00,16:00,10
P0105,1,P3,12:00,16:00,10
P0106,1,P3,12:00,16:00,10
P0107,1,P3,12:00,16:00,10
P0108,1,P3,12:00,16:00,10
P0109,1,P3,12:00,16:00,10
P0110,1,P3,12:00,16:00,10
P0111,1,P3,12:00,16:00,10
P0112,1,P4,13:00,17:00,1
P0113,1,P4,13:00,17:00,1
P0114,1,P4,13:00,17:00,1
P0115,1,P4,13:00,17:00,1
P0116,1,P4,13:00,17:00,1
P0117,1,P4,13:00,17:00,2
P0118,1,P4,13:00,17:00,9
