day,shift_id,group,count
1,P1,1,8
1,P1,3,5
1,P1,6,2
1,P2,2,8
1,P2,3,6
1,P2,4,19
1,P2,6,3
1,P2,7,11
1,P2,8,11
1,P3,1,6
1,P3,5,16
1,P3,10,16
1,P4,1,5
1,P4,2,1
1,P4,9,14
2,P1,4,3
2,P1,7,10
2,P2,1,4
2,P2,2,24
2,P2,3,22
2,P2,4,15
2,P2,5,26
2,P2,6,16
2,P2,7,29
2,P2,8,9
2,P2,9,27
2,P3,10,16
2,P4,9,2
2,P4,10,2
3,P1,4,7
3,P1,8,4
3,P1,9,12
3,P2,2,13
3,P2,4,2
3,P2,5,17
3,P2,7,28
3,P2,8,16
3,P2,10,13
3,P3,1,24
3,P3,3,8
3,P3,6,20
3,P3,9,2
3,P4,3,22
3,P4,9,3
3,P4,10,13
4,P1,3,3
4,P1,5,7
4,P1,7,3
4,P2,1,20
4,P2,3,10
4,P2,4,16
4,P2,6,8
4,P2,7,7
4,P2,8,28
4,P2,9,29
4,P2,10,26
4,P3,2,29
4,P3,5,4
4,P3,8,1
4,P3,10,1
4,P4,4,14
5,P1,2,7
5,P1,4,4
5,P1,6,2
5,P2,1,9
5,P2,2,18
5,P2,3,17
5,P2,4,14
5,P2,5,27
5,P2,6,7
5,P2,7,18
5,P2,8,22
5,P2,10,27
5,P3,9,27
5,P4,1,1
5,P4,2,5
6,P1,2,1
6,P1,4,1
6,P1,5,14
6,P2,2,15
6,P2,3,26
6,P2,4,18
6,P2,5,15
6,P2,6,14
6,P2,8,17
6,P2,9,12
6,P2,10,10
6,P3,6,10
6,P3,7,12
6,P4,1,12
6,P4,2,6
6,P4,7,7
6,P4,8,3
6,P4,10,12
7,P1,4,7
7,P1,9,7
7,P2,1,12
7,P2,4,16
7,P2,5,23
7,P2,6,11
7,P2,7,21
7,P2,9,14
7,P2,10,27
7,P3,2,14
7,P3,3,27
7,P3,8,11
7,P4,1,6
8,P1,2,5
8,P1,3,1
8,P1,6,2
8,P2,1,16
8,P2,2,8
8,P2,3,28
8,P2,4,11
8,P2,5,20
8,P2,6,20
8,P2,7,11
8,P2,9,10
8,P2,10,23
8,P3,2,2
8,P3,8,21
8,P4,1,3
8,P4,4,11
8,P4,7,12
8,P4,9,2
9,P1,3,7
9,P1,6,4
9,P1,7,11
9,P1,10,3
9,P2,1,20
9,P2,2,20
9,P2,4,30
9,P2,6,13
9,P2,7,13
9,P2,8,21
9,P2,9,7
9,P3,3,19
9,P3,5,22
10,P1,8,8
10,P1,9,6
10,P2,2,8
10,P2,3,30
10,P2,4,5
10,P2,5,12
10,P2,6,21
10,P2,7,3
10,P2,9,10
10,P2,10,24
10,P4,1,20
10,P4,2,8
10,P4,4,13
10,P4,5,14
10,P4,7,12
