metric,value,unit_or_scope
evidence_status,generated,requires independent verification before formal-paper use
reference_curve_status,manual digitisation candidate,16 AIE 225CS source-engine points; not target-engine measurements
fit_MAPE_pct,3.7566068326202093,in-sample diagnostic using the same 16 manual-digitisation candidates; not validation error
fit_RMSE_Nm,1.5691291034374597,in-sample diagnostic using the same 16 manual-digitisation candidates; not validation error
selected_start_index,2,minimum exact one-degree ODE cost among converged and moved deterministic starts
selected_least_squares_success,True,"selected deterministic two-parameter surrogate fit, re-evaluated in exact ODE"
selected_least_squares_status,1,SciPy least_squares status code
selected_least_squares_nfev,10,bounded quadratic surrogate of a 7x7 exact one-degree ODE screen
selected_least_squares_optimality,1.1413606252018089e-12,selected deterministic two-parameter surrogate fit
selected_friction_scale_at_upper_bound,True,friction_scale reaches its imposed upper bound 1.80; the source candidate curve does not independently identify this loss scale
Ain_max_mm2,361.91521693994156,fixed submitted engineering prior; not independently identifiable from 16 torque candidates
Aex_max_mm2,606.159284370356,fixed submitted engineering prior; not independently identifiable from 16 torque candidates
heat_scale,0.9694097189196712,fixed submitted engineering prior; not independently identifiable from 16 torque candidates
combustion_duration_deg,111.2396719111877,fixed submitted engineering prior; not independently identifiable from 16 torque candidates
combustion_efficiency,0.7392333965932314,multi-start fitted coefficient
friction_scale,1.7999999999999998,multi-start fitted coefficient
intake_pressure_linear,0.07790785923613822,fixed submitted engineering prior; not independently identifiable from 16 torque candidates
intake_pressure_quadratic,-0.01829931843876515,fixed submitted engineering prior; not independently identifiable from 16 torque candidates
fuel_mass_definition,"mfuel_per_cycle is the fuel implied by the fresh charge at the start of the converged 1080-degree cycle, held fixed during that cycle","used consistently for baseline, scan and numerical refinement"
eta_b_formula,P/(mfuel_per_cycle*LHV*n/60),"P in W, mfuel_per_cycle in kg/cycle, n in r/min"
BSFC_formula,mfuel_per_cycle*n*60000/P,g/kWh; same mfuel_per_cycle definition as eta_b
fuel_mass_consistency_definition,"mfuel_per_cycle is the fuel implied by the fresh charge at the start of the converged 1080-degree cycle, held fixed during that cycle","programmatic check of baseline, 0.5 degree refinement and 31 overlap conditions"
fuel_mass_consistency_all_cases_use_same_definition,True,"programmatic check of baseline, 0.5 degree refinement and 31 overlap conditions"
fuel_mass_consistency_checked_cases,33,"programmatic check of baseline, 0.5 degree refinement and 31 overlap conditions"
fuel_mass_consistency_maximum_abs_eta_b_formula_error,0.0,"programmatic check of baseline, 0.5 degree refinement and 31 overlap conditions"
fuel_mass_consistency_maximum_abs_BSFC_g_kWh_formula_error,0.0,"programmatic check of baseline, 0.5 degree refinement and 31 overlap conditions"
fuel_mass_consistency_baseline_mfuel_per_cycle_kg,2.9326056611725016e-05,"programmatic check of baseline, 0.5 degree refinement and 31 overlap conditions"
fuel_mass_consistency_refined_mfuel_per_cycle_kg,2.9339208884085855e-05,"programmatic check of baseline, 0.5 degree refinement and 31 overlap conditions"
