theta_deg,mass_kg,fresh_mass_kg,internal_energy_J,work_J,wall_heat_J,pressure_Pa,temperature_K,volume_m3,dV_ddeg_m3,mfuel_per_cycle_kg,p_in_effective_Pa
-30.0,0.0004456866169944365,0.0004252278208700127,256.66201368853166,0.0,0.0,1935755.0925029055,802.0612960049589,5.299911764438814e-05,-8.142171430567041e-07,2.9326056611725016e-05,101325.0
-29.0,0.0004456848744906826,0.00042522615835414204,258.1864953496359,-1.5673759109569911,0.041485471561750274,1977141.1115141585,806.82841112982,5.219793331644823e-05,-7.881334346562386e-07,2.9326056611725016e-05,101325.0
-28.0,0.0004456831002880643,0.0004252244655945114,259.6906908297983,-3.1157374334808043,0.08420866340714768,2018633.0732491256,811.5322270319925,5.142288634211984e-05,-7.61943025604786e-07,2.9326056611725016e-05,101325.0
-27.0,0.0004456812944242171,0.0004252227426270288,261.1722692161204,-4.642753214387095,0.12816898577884644,2060148.9824926774,816.1654597685504,5.0674081650356774e-05,-7.356494616644881e-07,2.9326056611725016e-05,101325.0
-26.0,0.0004456794569992135,0.0004252209895471729,262.6288301009825,-6.146019741358466,0.17336325643782222,2101601.0107387025,820.7206079604446,4.9951620617327755e-05,-7.092563025630076e-07,2.9326056611725016e-05,101325.0
-25.0,0.000445677588179309,0.00042521920651356743,264.0579092694715,-7.623066870521116,0.2197855463588445,2142895.5837875768,825.1899705461736,4.925560105269184e-05,-6.82767121511598e-07,2.9326056611725016e-05,101325.0
-24.0,0.0004456756882005783,0.0004252173937514504,265.45698531491627,-9.071364287270164,0.26742703049623884,2183933.535355949,829.5656674362509,4.8586117186356544e-05,-6.561855047213467e-07,2.9326056611725016e-05,101325.0
-23.0,0.0004456737573723979,0.0004252155515559967,266.82348720729004,-10.488328927050816,0.31627584550277604,2224610.33224815,833.8396631461061,4.79432596557206e-05,-6.295150509176619e-07,2.9326056611725016e-05,101325.0
-22.0,0.0004456717960807256,0.000425213680295447,268.15480282850604,-11.871333372190756,0.3663169563995199,2264816.376041198,838.0037934515381,4.732711549340308e-05,-6.027593708530604e-07,2.9326056611725016e-05,101325.0
-21.0,0.0004456698047911278,0.0004252117804139964,269.4482884762422,-13.217715228587815,0.417532034288573,2304437.385432404,842.0497950721387,4.673776811546061e-05,-5.759220868183307e-07,2.9326056611725016e-05,101325.0
-20.0,0.00044566778405150185,0.0004252098524343916,270.7012793239455,-14.524787472143185,0.4698993472688388,2343354.862381034,845.9693383444074,4.61752973100942e-05,-5.490068321521328e-07,2.9326056611725016e-05,101325.0
-19.0,0.00044566573449444057,0.0004252078969601869,271.9111008092033,-15.789849739409716,0.5233936667520986,2381446.643940799,849.7540627979756,4.563977922684709e-05,-5.220172507491017e-07,2.9326056611725016e-05,101325.0
-18.0,0.00044566365683918434,0.0004252059146776066,273.07508090592034,-17.01020052017689,0.577986191377964,2418587.5402332647,853.3956154960129,4.513128636629547e-05,-4.949569965665232e-07,2.9326056611725016e-05,101325.0
-17.0,0.0004456615518898049,0.0004252039063538124,274.19399169020795,-18.183153823963703,0.6336450674573911,2454680.7502532685,856.8964064298855,4.4649887570232946e-05,-4.678297331296458e-07,2.9326056611725016e-05,101325.0
-16.0,0.0004456594204994323,0.0004252018728027723,275.28237026488324,-19.306090635057245,0.6903417575613485,2489753.4650747646,860.3018633954108,4.419564801235048e-05,-4.406391330356986e-07,2.9326056611725016e-05,101325.0
-15.0,0.0004456572635323967,0.00042519981484914017,276.3582760014418,-20.376501773422913,0.7480576566577695,2523870.005189165,863.6684226815261,4.376862918941299e-05,-4.1338887745667996e-07,2.9326056611725016e-05,101325.0
-14.0,0.00044565508185824554,0.00042519773332254775,277.4398584197308,-21.3919889093082,0.8067850524099218,2557101.7577351397,867.0528033441632,4.336888891293354e-05,-3.860826556409864e-07,2.9326056611725016e-05,101325.0
-13.0,0.00044565287634884933,0.0004251956290548433,278.54534166795196,-22.350260604664243,0.86652748585633,2589526.958152061,870.5119587475373,4.2996481301346745e-05,-3.587241644139465e-07,2.9326056611725016e-05,101325.0
-12.0,0.00044565064787540585,0.00042519350287723305,279.69300344946737,-23.249127231870034,0.9273000781033709,2621230.338298413,874.1030107473457,4.265145677268189e-05,-3.3131710767733087e-07,2.9326056611725016e-05,101325.0
-11.0,0.00044564839730541224,0.00042519135561739263,280.9011484215313,-24.086494773470026,0.9891298192430056,2652302.6371484688,877.8831665935861,4.2333862037737175e-05,-3.0386519590790245e-07,2.9326056611725016e-05,101325.0
-10.0,0.00044564612549967793,0.0004251891880966168,282.18807612842886,-24.86035753315841,1.0520558157647038,2682839.9728214634,881.90961874744,4.204374009375577e-05,-2.7637214565507763e-07,2.9326056611725016e-05,101325.0
-9.0,0.0004456438333094536,0.00042518700112708046,283.5720435728837,-25.568789816159462,1.1161294928314378,2712943.0776264784,886.2394279360109,4.1781130218604805e-05,-2.4884167903776507e-07,2.9326056611725016e-05,101325.0
-8.0,0.00044564152157375124,0.00042518479550928166,285.0712225742988,-26.20993666579136,1.1814147479252641,2742716.4009521403,890.9293899084237,4.154606796545758e-05,-2.2127752324044996e-07,2.9326056611725016e-05,101325.0
-7.0,0.0004456391911169297,0.00042518257202973784,286.70365210960847,-26.782003771597218,1.247988052528782,2772267.088105328,896.0358865043721,4.133858515798048e-05,-1.9368341000859355e-07,2.9326056611725016e-05,101325.0
-6.0,0.00044563684274661366,0.0004251803314590005,288.48718588133227,-27.283246692149618,1.3159384986853133,2801703.846506846,901.6147217988018,4.11587098860243e-05,-1.6606307514341385e-07,2.9326056611725016e-05,101325.0
-5.0,0.00044563447725201057,0.00042517807455004925,290.43943540687656,-27.711959561610882,1.3853677874646333,2831135.713873278,907.72094424101,4.100646650182151e-05,-1.3842025799611847e-07,2.9326056611725016e-05,101325.0
-4.0,0.0004456320954026789,0.0004251758020371168,292.5777089722124,-28.06646347248101,1.4563901565459216,2860670.746037624,914.4086558599089,4.0881875616689294e-05,-1.1075870096165612e-07,2.9326056611725016e-05,101325.0
-3.0,0.0004456296979477916,0.00042517351463498604,294.9189468407713,-28.3450947468384,1.5291322443110806,2890414.644770435,921.7308097563758,4.078495409823912e-05,-8.308214897205615e-08,2.9326056611725016e-05,101325.0
-2.0,0.0004456272856159248,0.0004251712130387886,297.47965315376837,-28.54619332399178,1.6037328880185273,2920469.348248183,929.7389972454735,4.0715715068093116e-05,-5.539434898942492e-08,2.9326056611725016e-05,101325.0
