metric,value
source_torque_6000_Nm,39.318720500699996
calibrated_BMEP_bar,10.979858086537734
target_torque_6000_Nm,71.50712267560303
target_power_6000_kW,44.92925025540372
target_power_low_kW,38.189862717093156
target_power_high_kW,51.66863779371427
brake_thermal_efficiency_center_pct,30.911762631018398
brake_thermal_efficiency_low_pct,23.886362033059665
brake_thermal_efficiency_high_pct,39.49836336185684
fuel_flow_center_kg_h,12.028698667692407
BSFC_center_g_kWh,267.725337042447
xi_0.18_residual_reduction_pct,16.4729788588728
xi_0.18_short_circuit_of_overlap_inflow_pct,8.483450784039992
xi_0.18_total_short_loss_pct_refmass,1.5270211411271994
xi_0.18_PFI_eff_change_pct_k0.3,0.2751126521015168
xi_0.18_post_exhaust_DI_eff_change_pct_k0.3,-0.07727458091186801
xi_0.18_PFI_eff_change_pct_k0.7,0.16199190150911758
xi_0.18_post_exhaust_DI_eff_change_pct_k0.7,-0.18999780207503703
xi_0.20_residual_reduction_pct,18.12692469220182
xi_0.20_short_circuit_of_overlap_inflow_pct,9.36537653899091
xi_0.20_total_short_loss_pct_refmass,1.8730753077981832
xi_0.20_PFI_eff_change_pct_k0.3,0.0
xi_0.20_post_exhaust_DI_eff_change_pct_k0.3,0.0
xi_0.20_PFI_eff_change_pct_k0.7,0.0
xi_0.20_post_exhaust_DI_eff_change_pct_k0.7,0.0
xi_0.22_residual_reduction_pct,19.74812020375215
xi_0.22_short_circuit_of_overlap_inflow_pct,10.235817255672043
xi_0.22_total_short_loss_pct_refmass,2.251879796247849
xi_0.22_PFI_eff_change_pct_k0.3,-0.310583177343704
xi_0.22_post_exhaust_DI_eff_change_pct_k0.3,0.07574444169016203
xi_0.22_PFI_eff_change_pct_k0.7,-0.20051856026848114
xi_0.22_post_exhaust_DI_eff_change_pct_k0.7,0.1862355935251303
