eccentric_shaft_angle_deg,gas_torque_chamber_A_Nm,gas_torque_chamber_B_Nm,gas_torque_chamber_C_Nm,gas_torque_total_Nm,mean_mechanical_loss_torque_Nm,conditional_shaft_torque_Nm
-30.0,-90.30530940074466,-9.312815306187202,11.634509366997953,-87.98361533993392,4.098595965841337,-92.08221130577526
-29.0,-89.28120658249128,-9.44295068657597,11.606791153122083,-87.11736611594516,4.098595965841337,-91.2159620817865
-28.0,-88.12568686738103,-9.57185554386236,11.57767187775656,-86.11987053348683,4.098595965841337,-90.21846649932817
-27.0,-86.83447482402622,-9.699511553815082,11.547155194963688,-84.98683118287761,4.098595965841337,-89.08542714871895
-26.0,-85.40358563497306,-9.825900529646242,11.515244853530307,-83.714241311089,4.098595965841337,-87.81283727693034
-25.0,-83.82937762434939,-9.95100442541296,11.481944696660674,-82.29843735310168,4.098595965841337,-86.39703331894302
-24.0,-82.10860658743343,-10.074805339398672,11.447258661660223,-80.73615326517186,4.098595965841337,-84.8347492310132
-23.0,-80.23848136258137,-10.197285517474084,11.411190779610719,-79.02457610044473,4.098595965841337,-83.12317206628607
-22.0,-78.21671998910244,-10.318427356437494,11.373745175035417,-77.16140217050452,4.098595965841337,-81.25999813634586
-21.0,-76.04160569954855,-10.438213407334393,11.334926065554775,-75.14489304132817,4.098595965841337,-79.24348900716952
-20.0,-73.71204190464623,-10.556626378756247,11.294737761531987,-72.97393052187049,4.098595965841337,-77.07252648771183
-19.0,-71.22760524726996,-10.673649140117993,11.253184665708197,-70.64806972167975,4.098595965841337,-74.74666568752109
-18.0,-68.58859573224875,-10.789264724914265,11.210271272827057,-68.16758918433595,4.098595965841337,-72.2661851501773
-17.0,-65.79690559802732,-10.903456333953965,11.166002169248491,-65.5343597627328,4.098595965841337,-69.63295572857415
-16.0,-62.858214693277546,-11.016207338572983,11.120382032551303,-62.75403999929922,4.098595965841337,-66.85263596514056
-15.0,-59.77896646718918,-11.127501283824559,11.073415631124407,-59.83305211988933,4.098595965841337,-63.93164808573067
-14.0,-56.56540943449589,-11.237321891647339,11.025107823746517,-56.777623502396715,4.098595965841337,-60.87621946823805
-13.0,-53.223533223260546,-11.345653064010444,10.975463559154095,-53.5937227281169,4.098595965841337,-57.69231869395824
-12.0,-49.75900411047046,-11.452478886035347,10.924487875596949,-50.286995120908855,4.098595965841337,-54.385591086750196
-11.0,-46.17710151383999,-11.557783629094295,10.87218590038208,-46.86269924255221,4.098595965841337,-50.96129520839355
-10.0,-42.482657005297646,-11.661551753884616,10.818562849404488,-43.325645909777776,4.098595965841337,-47.42424187561912
-9.0,-38.67999747320158,-11.763767913478823,10.763624026665655,-39.68014136001475,4.098595965841337,-43.778737325856085
-8.0,-34.772894080596224,-11.864416956349864,10.707374823778881,-35.92993621316721,4.098595965841337,-40.02853217900855
-7.0,-30.764518641126767,-11.963483929371206,10.649820719461529,-32.07818185103644,4.098595965841337,-36.176777816877774
-6.0,-26.657408959393848,-12.060954080791232,10.590967279013853,-28.12739576117123,4.098595965841337,-32.22599172701257
-5.0,-22.45344455715553,-12.156812863181667,10.530820153784136,-24.079437266553064,4.098595965841337,-28.1780332323944
-4.0,-18.153834031492433,-12.251045936359294,10.469385080620002,-19.935494887231727,4.098595965841337,-24.034090853073064
-3.0,-13.759115068599689,-12.34363917028064,10.406667881305564,-15.696086357574766,4.098595965841337,-19.794682323416104
-2.0,-9.269167872189184,-12.434578647909197,10.342674461984215,-11.361072058114166,4.098595965841337,-15.459668023955503
-1.0,-4.683242465556373,-12.523850668054465,10.277410812566696,-6.92968232104414,4.098595965841337,-11.028278286885477
0.0,0.0,-12.611441748182507,10.210883006124362,-2.400558742058145,4.098595965841337,-6.499154707899482
1.0,4.782432140241462,-12.697338627197334,10.143097198267121,2.2281907113112487,4.098595965841337,-1.8704052545300884
2.0,9.666391993751844,-12.781528268192673,10.074059626506093,6.9589233520652645,4.098595965841337,2.8603273862239273
3.0,14.654602336053333,-12.863997861173461,10.003776609600127,11.79438108448,4.098595965841337,7.695785118638662
4.0,19.750078871512613,-12.944734825746677,9.932254546886735,16.737598592652674,4.098595965841337,12.639002626811337
5.0,24.95602881452234,-13.023726813780776,9.859499917596139,21.791801918337704,4.098595965841337,17.693205952496367
6.0,30.27574162387489,-13.100961712033174,9.785519280148863,26.96029919199058,4.098595965841337,22.861703226149242
7.0,35.712473858827835,-13.176427644745312,9.710319271436157,32.24636548551868,4.098595965841337,28.147769519677343
8.0,41.26933027588835,-13.250112976204548,9.633906606082968,37.65312390576677,4.098595965841337,33.554527939925435
9.0,46.94914337787701,-13.322006313272365,9.556288075693121,43.18342514029776,4.098595965841337,39.08482917445642
10.0,52.754353659816715,-13.39209650787834,9.477470548076251,48.83972770001462,4.098595965841337,44.74113173417328
11.0,58.686892770429424,-13.460372659479098,9.397460966456189,54.62398107740651,4.098595965841337,50.52538511156517
12.0,64.7480717265167,-13.526824117481738,9.316266348660243,60.537513957695204,4.098595965841337,56.43891799185387
13.0,70.93847618518924,-13.591440483631155,9.23389378628903,66.58092948784713,4.098595965841337,62.48233352200579
14.0,77.2578706023302,-13.65421161436046,9.150350443866488,72.75400943183622,4.098595965841337,68.65541346599488
15.0,83.70511289252242,-13.71512762310404,9.065643557969151,79.05562882738754,4.098595965841337,74.9570328615462
16.0,90.27808096439696,-13.774178882572501,8.979780436334996,85.48368251815945,4.098595965841337,81.38508655231811
17.0,96.9736122447063,-13.831356026988937,8.892768456950403,92.03502467466777,4.098595965841337,87.93642870882643
18.0,103.78745703304207,-13.886649954285717,8.804615067115405,98.70542214587176,4.098595965841337,94.60682618003042
19.0,110.71424625517687,-13.940051828261403,8.71532778248632,105.4895222094018,4.098595965841337,101.39092624356046
20.0,117.74747391394718,-13.991553080696905,8.624914186095205,112.38083501934548,4.098595965841337,108.28223905350414
21.0,124.8794942788518,-14.041145413430288,8.53338192734563,119.37173079276714,4.098595965841337,115.2731348269258
22.0,132.10153361446433,-14.088820800389751,8.440738720983944,126.45345153505852,4.098595965841337,122.35485556921718
23.0,139.40371602749764,-14.13457148958379,8.346992346045552,133.6161368839594,4.098595965841337,129.51754091811807
24.0,146.77510281589323,-14.178390005048245,8.252150644775327,140.84886345562032,4.098595965841337,136.750267489779
25.0,154.20374453249073,-14.220269148749265,8.156221521521518,148.139696905263,4.098595965841337,144.04110093942168
26.0,161.6767448314981,-14.260202002441758,8.059212941602329,155.47575577065868,4.098595965841337,151.37715980481735
27.0,169.18033504807565,-14.298181929482684,7.961132930144404,162.84328604873735,4.098595965841337,158.74469008289603
28.0,176.69995836909138,-14.334202576598264,7.861989570892258,170.22774536338537,4.098595965841337,166.12914939754404
29.0,184.22036238513755,-14.368257875604739,7.761791004988073,177.6138955145209,4.098595965841337,173.51529954867956
30.0,191.72569876845677,-14.40034204508214,7.660545429720251,184.98590215309488,4.098595965841337,180.88730618725356
31.0,199.19962879646653,-14.430449591999817,7.5582610972408295,192.32744030170753,4.098595965841337,188.2288443358662
32.0,206.62543343392744,-14.458575313293935,7.454946313249532,199.62180443388303,4.098595965841337,195.5232084680417
33.0,213.98612669626473,-14.484714297395628,7.3506094356443175,206.8520218345134,4.098595965841337,202.75342586867208
34.0,221.26457103998234,-14.508861925709569,7.245258873136833,214.0009679874096,4.098595965841337,209.90237202156828
35.0,228.44359356150812,-14.531013874042033,7.138903083831733,221.05148277129783,4.098595965841337,216.9528868054565
36.0,235.50610183130416,-14.551166113978336,7.03155057376864,227.98648629109448,4.098595965841337,223.88789032525315
37.0,242.43519824406562,-14.569314914208288,6.92320989542542,234.78909322528276,4.098595965841337,230.69049725944143
38.0,249.21429182684085,-14.58545684179989,6.813889646181427,241.44272463122238,4.098595965841337,237.34412866538105
39.0,255.8272065137382,-14.599588763420059,6.703598466739328,247.93121621705745,4.098595965841337,243.83262025121613
40.0,262.2582849674708,-14.611707846502119,6.592345039503938,254.23892216047258,4.098595965841337,250.14032619463126
41.0,268.49248710349207,-14.621811560359296,6.480138086916698,260.35081363004946,4.098595965841337,256.2522176642081
42.0,274.51548255111805,-14.629897677243937,6.366986369743655,266.25257124361775,4.098595965841337,262.1539752777764
43.0,280.313736367253,-14.635964273351489,6.252898685316056,271.93067077921756,4.098595965841337,267.8320748133762
44.0,285.8745874015562,-14.640009729769094,6.137883865720761,277.3724615375079,4.098595965841337,273.27386557166653
45.0,291.18631879665924,-14.642032733368046,6.021950775939305,282.5662368392305,4.098595965841337,278.46764087338914
46.0,296.23822019291845,-14.642032277639611,5.905108311933265,287.5012962272121,4.098595965841337,283.40270026137074
47.0,301.02064129371905,-14.64000766347373,5.787365398673828,292.16799902891916,4.098595965841337,288.0694030630778
48.0,305.52503653411287,-14.63595849988028,5.668730988113407,296.55780902234596,4.098595965841337,292.4592130565046
49.0,309.74400068208524,-14.629884704651953,5.549214057096898,300.6633300345302,4.098595965841337,296.56473406868884
50.0,313.671295287528,-14.621786504968894,5.428823605210098,304.47833238776917,4.098595965841337,300.3797364219278
51.0,317.3018659785093,-14.611664437944222,5.30756865256279,307.99777019312785,4.098595965841337,303.8991742272865
52.0,320.6318506871165,-14.599519351109993,5.185458237503341,311.21778957350983,4.098595965841337,307.1191936076685
53.0,323.65857896738675,-14.585352402843546,5.062501414262568,314.13572797880573,4.098595965841337,310.0371320129644
54.0,326.38056264505286,-14.569165062733507,4.938707250523238,316.75010483284257,4.098595965841337,312.6515088670012
55.0,328.7974781123238,-14.5509591118851,4.814084824911942,319.06060382535065,4.098595965841337,314.9620078595093
56.0,330.91014065009176,-14.530736643164476,4.688643224410489,321.0680472313378,4.098595965841337,316.96945126549645
57.0,332.7204712241516,-14.508500061381804,4.56239154168257,322.77436270445236,4.098595965841337,318.675766738611
58.0,334.2314562606263,-14.48425208341253,4.435338872312044,324.18254304952586,4.098595965841337,320.0839470836845
59.0,335.4471009582393,-14.457995738256715,4.307494311948844,325.2965995319314,4.098595965841337,321.19800356609005
60.0,336.37237674083343,-14.429734367036097,4.178866953358401,326.12150932715576,4.098595965841337,322.0229133613144
