N_A,N_B,cost_yuan,p_self_lower,p_total_necessary_upper
0,56,0.09382890058721517,0.8983308833497782,0.8983417813875729
1,48,0.09526879722011049,0.8949628116759689,0.8949715215715267
0,55,0.09215338450530061,0.894094670156019,0.894105618895256
1,47,0.09359328113819594,0.8905862621624676,0.8905949683893455
0,54,0.09047786842338607,0.8896819480791864,0.8896929403486212
2,39,0.09503317777109126,0.8869616284164697,0.886968280152956
1,46,0.09191776505628138,0.8860273564192371,0.8860360513530509
0,53,0.0888023523414715,0.8850853625824858,0.8850963908431809
2,38,0.0933576616891767,0.8822516962671559,0.8822582929384711
1,45,0.09024224897436682,0.8812784962700386,0.8812871719871213
0,52,0.08712683625955694,0.8802972526900894,0.8803083090306573
3,30,0.09479755832207201,0.878350956893113,0.8783556835508265
2,37,0.09168214560726214,0.8773455169449542,0.8773520508479475
1,44,0.08856673289245226,0.8763317669479569,0.8763404152275867
0,51,0.08545132017764238,0.8753096382188431,0.8753207143514998
3,29,0.09312204224015747,0.8732822467636594,0.8732868801595363
2,36,0.09000662952534758,0.8722349134843272,0.8722413767258939
1,43,0.08689121681053771,0.8711789239041218,0.8711875362320449
0,50,0.08377580409572784,0.8701142064779617,0.8701252937354882
4,21,0.09456193887305278,0.8690843694799175,0.8690873765664897
3,28,0.09144652615824289,0.868002340378812,0.8680068736508812
2,35,0.08833111344343303,0.8669113682128409,0.8669177527225235
1,42,0.08521570072862315,0.8658113790667935,0.8658199466401693
0,49,0.08210028801381328,0.8647022984145434,0.8647133877482653
4,20,0.0928864227911382,0.8636295515415807,0.8636324443774932
3,27,0.08977101007632834,0.8625024378945958,0.8625068641561611
2,34,0.08665559736151847,0.8613660085550425,0.8613723060996503
1,41,0.08354018464670859,0.86022018652791,0.8602287002618167
5,12,0.09432631942403354,0.859111901937349,0.8591134808993501
0,48,0.08042477193189872,0.859064894181816,0.8590759761607161
4,19,0.09121090670922366,0.8579474495224799,0.8579502232192662
3,26,0.08809549399441378,0.8567733728068706,0.856777685172638
2,33,0.08498008127960391,0.855589592244836,0.855595794445252
1,40,0.08186466856479403,0.8543960276332395,0.8544044781688912
5,11,0.09265080334211898,0.8532415645180718,0.8532430301277387
0,47,0.07874925584998417,0.8531925981060583,0.8532036629171457
4,18,0.0895353906273091,0.8520285932525833,0.8520312431290938
3,25,0.08641997791249922,0.8508055966738235,0.850809788288938
2,32,0.08330456519768936,0.8495724919217041,0.8495785902720674
6,3,0.09409069997501429,0.8483797840116098,0.848380327646796
1,39,0.08018915248287949,0.8483291954512912,0.8483375731661217
5,10,0.09097528726020442,0.8471266297063248,0.8471279804262142
0,46,0.07707373976806961,0.8470756230271441,0.8470866604772181
4,17,0.08785987454539454,0.8458631179714409,0.8458656395971985
3,24,0.08474446183058468,0.8445891632018995,0.8445932272741156
2,31,0.0816290491157748,0.8433046790851084,0.8433106649745685
6,2,0.09241518389309973,0.8420622750120936,0.842062733521113
1,38,0.07851363640096493,0.842009578595095,0.8420178736148832
5,9,0.08929977117828987,0.8407569059440883,0.840758140755428
0,45,0.07539822368615505,0.8407037739866083,0.8407147735055593
4,16,0.08618435846348,0.8394407478869176,0.8394431371294677
3,23,0.08306894574867012,0.8381137116686452,0.8381176415038718
2,30,0.07995353303386024,0.8367757073803214,0.8367815721175759
6,1,0.09073966781118518,0.8354815364709309,0.8354819133271272
1,37,0.07683812031905037,0.8354266443698906,0.8354348465831086
5,8,0.08762425509637531,0.8341217770250919,0.8341228954926859
0,44,0.07372270760424049,0.8340664312360504,0.8340773818818531
4,15,0.08450884238156543,0.8327507790488724,0.8327530321254198
3,22,0.08139342966675556,0.8313684496548388,0.8313722386963165
2,29,0.0782780169519457,0.8299746951878347,0.8299804300286768
6,0,0.08906415172927062,0.8286266004905529,0.8286269000908837
1,36,0.0751626042371358,0.828569421218636,0.828577520293215
5,7,0.08594873901446075,0.8272101844011375,0.8272111867435828
0,43,0.07204719152232594,0.8271525325375525,0.8271634230031223
4,14,0.08283332629965087,0.8257820615092422,0.82578417504288
3,21,0.07971791358484101,0.8243421350571238,0.8243457769285081
2,28,0.07660250087003112,0.8228903074873278,0.8228959036654444
1,35,0.07348708815522126,0.8214264804360791,0.8214344658388057
5,6,0.08427322293254619,0.8200106087511849,0.8200114959167643
0,42,0.07037167544041138,0.8199505547266172,0.8199613733487054
4,13,0.08115781021773633,0.8185229807387939,0.8185249518196542
3,20,0.07804239750292644,0.8170230573511705,0.8170265459038132
2,27,0.07492698478811657,0.8155107369659664,0.8155161857272455
1,34,0.0718115720733067,0.8139859171209158,0.8139937781396808
5,5,0.08259770685063164,0.8125110507824842,0.81251182453112
0,41,0.06869615935849682,0.8124484945068928,0.812459229277217
4,12,0.07948229413582177,0.810961438269577,0.8109632645212472
3,19,0.07636688142101189,0.809399018074136,0.809402347438873
2,26,0.07325146870620201,0.8078236843395484,0.8078289769801681
1,33,0.07013605599139214,0.8062353303342873,0.8062430561034287
5,4,0.08092219076871708,0.8046990112317545,0.8046996742234351
0,40,0.06702064327658226,0.8046338484446801,0.8046444870234936
