N,A_direct_lower,B_direct_lower
0,0.0,0.0
1,0.2547123889803846,0.040000000000000036
2,0.44454637686067444,0.07840000000000003
3,0.5860272961783024,0.11526400000000014
4,0.6914712725413961,0.15065344000000014
5,0.7700573617814551,0.18462730240000014
6,0.8286266004905529,0.21724221030400015
7,0.8722775284872941,0.24855252189184018
8,0.9048100243327746,0.2786104210161666
9,0.9290560904419582,0.30746600417551995
10,0.9471263831290954,0.3351673640084992
11,0.9605939483963171,0.3617606694481592
12,0.9706311579405754,0.38729024267023293
13,0.9781117658631191,0.41179863296342356
14,0.9836869702706861,0.4353266876448867
15,0.9878421010445476,0.4579136201390912
16,0.990938868532473,0.4795970753335276
17,0.9932468509754322,0.5004131923201866
18,0.9949669616966204,0.5203966646273791
19,0.996248938906704,0.539580798042284
20,0.9972043806389888,0.5579975661205926
21,0.9979164595251118,0.575677663475769
22,0.9984471630970079,0.5926505569367382
23,0.998842689894266,0.6089445346592687
24,0.9991374711160885,0.6245867532728979
25,0.9993571679086742,0.639603283141982
26,0.999520905206369,0.6540191518163028
27,0.9996429365858028,0.6678583857436506
28,0.9997338850610505,0.6811440503139046
29,0.9998016678328937,0.6938982883013485
30,0.999852185492989,0.7061423567692946
31,0.9998898356791958,0.7178966624985228
32,0.9999178958965282,0.7291807959985819
33,0.9999388088288685,0.7400135641586386
34,0.999954394978252,0.7504130215922931
35,0.9999660111422909,0.7603965007286013
36,0.9999746685254367,0.7699806406994574
37,0.9999811207658391,0.7791814150714791
38,0.9999859295406743,0.7880141584686199
39,0.9999895134609832,0.796493592129875
40,0.9999921845123884,0.8046338484446801
41,0.999994175213909,0.8124484945068928
42,0.9999956588590895,0.8199505547266172
43,0.9999967646014617,0.8271525325375525
44,0.9999975886975527,0.8340664312360504
45,0.9999982028861596,0.8407037739866083
46,0.9999986606333192,0.8470756230271441
47,0.9999990017866062,0.8531925981060583
48,0.9999992560439244,0.859064894181816
49,0.9999994455387538,0.8647022984145434
50,0.9999995867669024,0.8701142064779617
51,0.9999996920224918,0.8753096382188431
52,0.9999997704681787,0.8802972526900894
53,0.9999998289327773,0.8850853625824858
54,0.9999998725057182,0.8896819480791864
55,0.9999999049800913,0.894094670156019
56,0.9999999291828393,0.8983308833497782
57,0.9999999472208475,0.9023976480157871
58,0.9999999606643515,0.9063017420951556
59,0.9999999706836284,0.9100496724113494
60,0.9999999781508715,0.9136476855148954
61,0.9999999837161152,0.9171017780942996
62,0.9999999878638224,0.9204177069705276
63,0.9999999909550572,0.9236009986917065
64,0.9999999932589162,0.9266569587440383
65,0.9999999949759537,0.9295906803942767
66,0.9999999962556406,0.9324070531785057
67,0.9999999972093753,0.9351107710513654
68,0.999999997920182,0.9377063402093109
69,0.9999999984499374,0.9401980866009384
70,0.9999999988447575,0.9425901631369009
71,0.9999999991390122,0.9448865566114248
72,0.9999999993583164,0.9470910943469678
73,0.9999999995217611,0.9492074505730891
74,0.9999999996435746,0.9512391525501656
75,0.9999999997343605,0.953189586448159
76,0.9999999998020221,0.9550620029902326
77,0.9999999998524496,0.9568595228706233
78,0.9999999998900325,0.9585851419557984
79,0.9999999999180426,0.9602417362775664
80,0.9999999999389182,0.9618320668264637
81,0.9999999999544764,0.9633587841534053
82,0.9999999999660719,0.964824432787269
83,0.9999999999747138,0.9662314554757783
84,0.9999999999811545,0.9675821972567471
85,0.9999999999859547,0.9688789093664772
86,0.9999999999895322,0.9701237529918182
87,0.9999999999921985,0.9713188028721454
88,0.9999999999941857,0.9724660507572596
89,0.9999999999956666,0.9735674087269692
90,0.9999999999967704,0.9746247123778905
91,0.999999999997593,0.9756397238827749
92,0.9999999999982061,0.9766141349274639
93,0.9999999999986631,0.9775495695303653
94,0.9999999999990036,0.9784475867491507
95,0.9999999999992574,0.9793096832791847
96,0.9999999999994466,0.9801372959480172
97,0.9999999999995876,0.9809318041100966
98,0.9999999999996926,0.9816945319456927
99,0.9999999999997708,0.982426750667865
100,0.9999999999998292,0.9831296806411504
