group,row1,row2,matched_y_nm,matched_z_nm,len1_nm,len2_nm,total_length_nm,abs_direction_dot,complete_5000
组1,4,12,260.638630130799,-45.5355334223004,2315.534369816957,2684.4656301830446,5000.000000000002,0.9999999999999999,True
组1,5,11,273.505296679324,-144.677940130256,1062.1411789741362,3937.8588210258636,5000.0,1.0,True
组2,6,47,-31.8043625940113,-200.10393428969,3080.1227520443604,1919.8772479556317,4999.999999999992,1.0,True
组2,8,44,-14.0725596141766,281.931898702774,2677.2638185886635,2322.736181411338,5000.000000000002,0.9999999999999999,True
组2,9,40,-10.9123393011085,138.872240038616,1556.487969694987,3443.5120303050126,5000.0,1.0,True
组2,12,41,300.316348054142,115.435676374726,1874.6776896276024,3125.3223103723944,4999.999999999996,1.0000000000000002,True
组2,13,46,307.50626190705,-131.057049605648,3053.5735753661397,1946.4264246338664,5000.000000000006,1.0,True
组3,4,507,-4866.08250706701,-1349.01698940725,3536.541437143679,1463.4585628563148,4999.999999999994,1.0,True
组3,7,537,-4547.39384234608,-410.884225856586,4422.796321965136,577.2036780348648,5000.0,1.0,True
组3,8,487,-4519.66210305138,3025.31565018178,3442.0924336494163,1557.9075663505832,5000.0,0.9999999999999999,True
组3,9,454,-4435.68841088378,396.827175517224,2497.5982763783745,2502.401723621623,4999.999999999998,1.0,True
组3,10,452,-4427.31798471068,-2547.29172280084,2497.1282484913363,2502.8717515086646,5000.000000000001,0.9999999999999999,True
组3,12,527,-4209.37005304343,1282.30863091672,4342.181221878725,657.818778121276,5000.000000000002,1.0,True
组3,16,492,-3934.96314704756,923.476102249517,3509.930579045047,1490.0694209549522,4999.999999999999,0.9999999999999998,True
组3,17,395,-3809.67060242485,-2329.36103653559,804.9025853004581,4195.097414699543,5000.000000000001,1.0000000000000002,True
组3,18,458,-3505.79987614971,2439.60639803962,2497.840944605064,2502.159055394932,4999.999999999996,1.0000000000000002,True
组3,19,400,-3160.9915908559,3668.52224946907,981.387976262608,4018.6120237373934,5000.000000000002,1.0,True
组3,20,464,-2897.59141411251,288.901642274303,1471.2231541958963,3528.776845804104,5000.0,0.9999999999999999,True
组3,22,445,-2778.66251188592,2206.82508489744,1840.460384963259,3159.53961503674,4999.999999999999,1.0,True
组3,23,479,-2691.57323766101,-1126.55329185837,3191.7406605014426,1808.2593394985577,5000.0,1.0,True
组3,24,482,-2602.2578268195,2880.14555663,2765.288061848407,2234.711938151593,5000.0,0.9999999999999999,True
组3,25,522,-2564.86128944441,-1330.47391306341,3450.0439600567543,1549.9560399432416,4999.999999999996,1.0,True
组3,26,535,-2456.20339955356,-2657.38387812609,3815.52228969526,1184.477710304743,5000.000000000003,1.0,True
组3,27,523,-2432.17457103533,-3042.63852110194,3665.68426682574,1334.3157331742616,5000.000000000002,1.0,True
组3,28,536,-2429.63780368038,1192.46496680503,4474.302617950936,525.6973820490682,5000.000000000005,0.9999999999999999,True
组3,29,466,-2285.37593637789,-1294.23920020719,2305.77420421187,2694.2257957881316,5000.000000000002,0.9999999999999999,True
组3,30,514,-1980.646304769,3104.21465993047,4036.5366439420955,963.4633560578999,4999.999999999995,0.9999999999999999,True
组3,31,506,-1885.81724045037,4304.47317215295,3711.5554274002566,1288.4445725997384,4999.9999999999945,1.0,True
组3,32,383,-1832.60798588856,-4442.89166913915,831.6354537618065,4168.364546238193,4999.999999999999,0.9999999999999999,True
组3,33,531,-1823.22140012199,290.683235674212,3277.862335024747,1722.1376649752563,5000.000000000004,0.9999999999999999,True
组3,34,511,-1770.83504212766,2589.6427585874,3934.469704923681,1065.530295076317,4999.999999999998,1.0,True
组3,35,493,-1730.49364760457,-1584.90290947253,3432.255914816072,1567.7440851839326,5000.000000000005,1.0,True
组3,36,508,-1690.28799022273,1083.3790173988,3965.724980470419,1034.2750195295882,5000.000000000007,1.0000000000000002,True
组3,37,484,-1568.74135130602,-712.470563064057,3102.4049691529685,1897.5950308470324,5000.000000000001,1.0,True
组3,38,532,-1525.23346506892,2224.38202222794,4168.659955305062,831.3400446949393,5000.000000000001,0.9999999999999999,True
组3,40,430,-1194.62051862425,2791.97432075776,561.7183048111525,4438.281695188839,4999.999999999992,1.0,True
组3,42,456,-1113.88857078746,3782.59616936743,2217.8121965483033,2782.1878034516976,5000.000000000001,1.0000000000000002,True
组3,43,518,-1099.7597181318,-3498.00726232382,4193.518468482424,806.4815315175736,4999.999999999998,1.0,True
组3,44,405,-1032.75823239689,-3930.21641597039,1222.5803393993835,3777.4196606006167,5000.0,1.0,True
